LSOA21CD,2021 super output area - lower layer,unemployment_rate_percent,level4_qualification_percent,detached_housing_percent,terraced_housing_percent,total_rent_ratio_percent,non_overcrowded_percent,no2_concentration_ugm3,so2_concentration_ugm3,pm10_concentration_ugm3,ndvi_passive_green_space
E01004825,E01004825 : Bolton 011B,12.78,20.22,4.3,66.06,58.21,76.19834711,14.3,2.19,12.44,0.3
E01004826,E01004826 : Bolton 011C,12.98,20.65,4.17,68.28,66.83,78.26086957,13.22,2.09,12.33,0.24
E01004865,E01004865 : Bolton 011D,7.45,23.33,12.18,60.89,49.46,90.8719346,12.81,2.03,12.13,0.25
E01004866,E01004866 : Bolton 011E,13.6,19.39,5.3,47.81,70.18,83.75165125,13.88,2.25,12.73,0.4
E01004840,E01004840 : Bolton 012A,3.43,39.77,28.53,24.52,24.97,95.56786704,11.31,1.93,11.68,0.61
E01004841,E01004841 : Bolton 012B,12.4,15.5,3.35,43.75,72.6,86.45357686,11.25,1.82,11.57,0.51
E01004842,E01004842 : Bolton 012C,3.85,47.44,20.49,9.02,18.44,98.49726776,11.83,1.9,11.67,0.43
E01004919,E01004919 : Bolton 012D,3.4,36.02,13.73,32.72,14.51,97.38058552,11.59,1.85,11.75,0.41
E01004920,E01004920 : Bolton 012E,6.75,33.65,15.79,30.38,31.48,93.25337331,11.82,1.87,11.67,0.42
E01004787,E01004787 : Bolton 013A,12.23,16.47,5.57,33.95,72.15,89.52254642,14.47,2.14,12.74,0.51
E01004793,E01004793 : Bolton 013B,10.93,14.91,7.05,27.63,65.56,90.48991354,15.19,2.19,12.74,0.51
E01004794,E01004794 : Bolton 013C,18.67,20.04,10.54,22.75,65.6,87.37864078,15.79,2.24,12.82,0.49
E01004795,E01004795 : Bolton 013D,9.55,19.35,10.1,20.49,47.12,92.64069264,13.82,2.05,12.54,0.47
E01004797,E01004797 : Bolton 013E,7.18,18.91,2.32,22.78,56.87,90.15444015,14.91,2.17,12.74,0.45
E01004775,E01004775 : Bolton 014A,1.91,39.81,30.89,29.37,17.13,98.27213823,11.26,2.27,13.09,0.54
E01004885,E01004885 : Bolton 014B,3.71,50.34,71.25,8.47,8.27,98.41269841,11.82,2.05,12.24,0.63
