LSOA21CD,2021 super output area - lower layer,unemployment_rate_percent,level4_qualification_percent,detached_housing_percent,terraced_housing_percent,total_rent_ratio_percent,non_overcrowded_percent,no2_concentration_ugm3,so2_concentration_ugm3,pm10_concentration_ugm3,ndvi_passive_green_space
E01005024,E01005024 : Bury 008E,11.75,28.12,5.21,34.43,70.63,75.250501,14.99,2.26,12.29,0.13
E01005026,E01005026 : Bury 008F,7.06,24.71,4.63,68.52,34.93,76.31578947,14.01,2.31,12.06,0.18
E01004947,E01004947 : Bury 009A,6.59,25.29,2.27,75.45,42.66,90.4400607,13.85,1.87,11.75,0.28
E01004948,E01004948 : Bury 009B,8.15,25.11,9.65,30.15,48.28,92.5,13.42,1.89,11.77,0.15
E01004962,E01004962 : Bury 009C,3.48,30.63,11.11,58.78,27.65,95.22673031,13.35,1.82,11.45,0.25
E01004964,E01004964 : Bury 009D,4.13,27.77,4.29,60.48,40.41,94.28571429,14.59,1.99,11.71,0.3
E01004949,E01004949 : Bury 010A,3.1,35.87,55.94,0.86,6.21,97.93459552,12.24,1.73,11.47,0.42
E01004950,E01004950 : Bury 010B,3.14,39.37,66.56,0.65,12.3,98.2171799,12.1,1.8,11.25,0.45
E01004951,E01004951 : Bury 010C,2.84,31.26,25.27,7.09,8.32,97.38058552,12.64,1.84,11.9,0.4
E01004952,E01004952 : Bury 010D,2.04,34.41,76.42,1.46,5.69,99.3485342,12.52,1.82,11.7,0.42
E01004953,E01004953 : Bury 010E,4.37,34.58,31.92,8.02,19.34,97.95597484,13.43,1.83,11.63,0.47
E01005025,E01005025 : Bury 011A,6.33,28.29,10.74,22.87,28.93,95.26462396,12.73,1.87,11.57,0.42
E01005027,E01005027 : Bury 011B,8.49,30.2,3.91,65.8,41.98,85.46511628,12.71,1.86,11.61,0.2
E01005028,E01005028 : Bury 011C,8.17,21.01,4.31,20.84,64.27,86.67466987,13.71,2.21,12.02,0.44
E01005029,E01005029 : Bury 011D,6.92,24.38,7.69,47.57,32.08,81.47566719,13.6,2.22,11.92,0.36
E01005000,E01005000 : Bury 012A,5.06,30.24,46.77,12.24,11.73,97.95570698,13.36,1.98,12.22,0.42
E01005001,E01005001 : Bury 012B,2.18,32.21,66.13,9.13,12.88,99.39148073,13.56,1.99,12.2,0.43
E01005005,E01005005 : Bury 012C,3.14,34.12,21.06,42.77,14.31,96.62379421,12.7,1.91,11.77,0.58
E01005006,E01005006 : Bury 012D,2.93,36.08,33.21,10.53,19.85,98.0173482,12.57,1.87,11.86,0.46
E01005030,E01005030 : Bury 013A,8.78,22.75,2.92,14.47,65.23,93.63867684,12.92,2.02,11.69,0.44
E01005054,E01005054 : Bury 013B,3.74,30.42,18.61,28.55,27.23,95.74468085,14.98,2.38,12.68,0.42
E01005059,E01005059 : Bury 013C,3.63,33.12,31.49,11.19,37.67,94.46749654,14.12,2.49,12.14,0.52
E01005060,E01005060 : Bury 013D,5.23,28.25,14.42,19.59,25.03,93.60544218,14.17,2.33,12.05,0.38
E01004997,E01004997 : Bury 014A,3.42,24.45,18.61,58.58,33.39,92.39482201,13.24,1.96,11.96,0.31
E01004998,E01004998 : Bury 014B,3.19,25.07,25.75,23.85,18.54,96.61705007,13.18,1.93,11.89,0.37
E01004999,E01004999 : Bury 014C,3.84,26.62,32.11,14.05,16.69,96.48241206,12.88,1.92,11.84,0.47
E01005002,E01005002 : Bury 014D,5.63,24.42,9.94,4.81,19.84,97.35202492,13.59,1.99,12.14,0.39
E01005003,E01005003 : Bury 014E,5.52,20,4.11,57.56,48.75,92.80469897,13.15,1.93,12.01,0.3
E01004991,E01004991 : Bury 015A,5.81,24.02,2.85,48.32,33.05,92.60504202,13.58,2.12,11.76,0.4
E01004992,E01004992 : Bury 015B,6.43,23.28,3.15,62.62,38.49,92.57503949,14.03,2.12,12.17,0.35
E01004993,E01004993 : Bury 015C,6.12,29.12,35.9,15.64,26.96,94.99358151,13.92,2.2,11.97,0.37
E01004994,E01004994 : Bury 015D,5.37,23.52,5.77,56.95,54.87,89.62962963,13.65,2.07,11.91,0.39
E01004990,E01004990 : Bury 016A,5.9,21.66,4.95,40.54,40.75,92.49249249,13.79,2.01,12.21,0.38
E01004996,E01004996 : Bury 016B,9.67,19.24,1.32,52.19,66.23,91.67767503,13.72,2.02,11.88,0.29
E01005004,E01005004 : Bury 016C,10.07,16.9,7.25,20.12,73.59,89.91793669,13.44,1.97,12.1,0.5
E01005008,E01005008 : Bury 016D,7.76,23.78,8.54,55.74,63.96,90.21052632,13.84,2,12.27,0.3
E01005009,E01005009 : Bury 016E,8.65,23.17,6.48,41.55,65.31,93.2792584,14.15,2.11,12.29,0.26
E01004945,E01004945 : Bury 017A,2.93,33.36,31.35,11.47,13.98,98.92307692,16.9,2.17,13.85,0.45
E01005055,E01005055 : Bury 017B,3.79,36.22,16.78,2.4,11.66,98.28767123,15.34,2.18,12.66,0.37
E01005056,E01005056 : Bury 017C,3.79,33.7,39.8,12.04,13.09,98.49246231,16.63,2.17,13.35,0.42
E01005057,E01005057 : Bury 017D,4.26,31.67,47.23,17.09,24.59,97.1641791,15.31,2.43,12.79,0.5
E01005058,E01005058 : Bury 017E,5.18,39.41,45.95,0.81,7.07,98.17813765,16.62,2.2,12.95,0.4
E01004995,E01004995 : Bury 018A,3.16,23.73,15.29,17.43,11.06,96.61538462,13.98,1.99,12.49,0.44
E01005010,E01005010 : Bury 018B,4.13,31.09,30.26,24.42,19.75,95.24539877,15.13,2,13.08,0.5
E01005012,E01005012 : Bury 018C,7.2,29.33,10.34,18.48,48.45,93.41085271,14.02,2.02,12.64,0.54
E01005013,E01005013 : Bury 018D,7.51,29.05,12.97,28.49,48.67,93.50393701,13.76,2.01,12.63,0.42
E01004984,E01004984 : Bury 019A,4.71,40.88,37.8,6.79,15.56,98.07692308,15.94,2.51,13.11,0.43
E01004985,E01004985 : Bury 019B,2.09,46.13,74.92,3.2,10.94,98.83138564,16.49,2.26,13.3,0.49
E01004989,E01004989 : Bury 019C,3.26,45.65,33.57,11.07,15.29,98.95104895,14.62,2.05,12.67,0.45
E01005007,E01005007 : Bury 019D,3.89,34.27,18.88,23.32,22.29,97.56446991,14.6,2.16,12.45,0.43
E01005011,E01005011 : Bury 019E,4.34,45.79,13.38,26.59,14.45,97.66666667,14.41,2.04,12.67,0.43
E01004983,E01004983 : Bury 020A,5.28,39.3,10.44,7.08,32.28,97.54385965,16.81,2.13,13.94,0.36
E01004986,E01004986 : Bury 020B,3.77,40.83,5.12,41.34,40.44,96.34591961,16.55,2.33,13.38,0.37
E01004987,E01004987 : Bury 020C,6.29,23,3.79,33.48,60.24,96.81335357,16.23,2.17,12.88,0.55
E01004988,E01004988 : Bury 020D,3.89,32.64,10.54,43.29,27.75,97.12460064,16.97,2.1,13.41,0.45
E01004941,E01004941 : Bury 021A,6.17,24.97,4.36,44.25,43.65,95.37648613,18.88,2.13,14.51,0.49
E01004942,E01004942 : Bury 021B,10.58,24.04,2.5,52.58,69.22,88.16199377,17.61,2.11,13.65,0.5
E01004943,E01004943 : Bury 021C,5.56,33.88,6.93,20.65,36.9,94.64788732,16.57,2.09,14.07,0.41
E01004944,E01004944 : Bury 021D,3.73,36.24,21.39,10.94,13.02,98.25396825,18.88,2.13,14.77,0.4
E01004946,E01004946 : Bury 021E,8.85,19.13,2.57,41.7,67.95,94.34447301,18.88,2.13,14.51,0.52
E01004969,E01004969 : Bury 022A,7.64,28.75,13.26,14.1,33.57,94.1011236,16.99,1.97,14.11,0.53
E01004970,E01004970 : Bury 022B,4.6,37.48,13.53,1.49,12.23,98.51729819,17.32,2.1,14.77,0.39
E01004971,E01004971 : Bury 022C,4.04,38.62,11,5.83,8.83,98.5,17.84,2.11,14.77,0.4
E01005034,E01005034 : Bury 022D,4.82,47.71,14.51,18.45,19.47,98.17671809,16.65,2.15,14.15,0.28
E01004972,E01004972 : Bury 023A,8.56,25.83,3.17,44.72,48.59,90.12345679,15.76,2.06,14.77,0.46
E01004973,E01004973 : Bury 023B,4.01,44.4,11.33,28.94,20.89,96.62058372,15.76,2.06,14.77,0.38
E01004975,E01004975 : Bury 023C,6.13,45.86,4.29,44.08,44.73,89.85695709,15.4,2.08,13.77,0.39
E01005039,E01005039 : Bury 023D,5.13,34.37,2.19,31.24,46.5,91.55749636,15.05,2.09,12.77,0.5
E01005045,E01005045 : Bury 023E,5.56,43.85,3.73,38.95,25.48,96.9571231,15.05,2.09,12.77,0.43
E01004974,E01004974 : Bury 024A,4.47,46.47,15.14,10.15,15.97,97.33333333,15.4,2.08,13.77,0.46
E01005033,E01005033 : Bury 024B,3.94,41.52,24.66,7.89,27.9,94.95798319,15.01,2.13,12.64,0.43
E01005036,E01005036 : Bury 024C,6.97,41.61,6.53,10.45,66.07,94.28838951,15.73,2.13,13.38,0.39
E01005037,E01005037 : Bury 024D,2.69,42.5,18.23,0.95,17.56,97.3015873,15.22,2.14,12.62,0.46
E01005031,E01005031 : Bury 025A,6.35,28.75,5.83,31.02,37.95,92.95774648,15.36,2.15,12.57,0.51
E01005032,E01005032 : Bury 025B,8.93,29.16,7.69,18.96,57.07,92.30769231,16.49,2.56,12.81,0.55
E01005035,E01005035 : Bury 025C,4.49,51.15,6.28,35.22,22.05,96.95121951,16.24,2.37,13.24,0.56
E01005038,E01005038 : Bury 025D,3.19,48.72,42.75,4.96,8.03,98.28244275,15.36,2.15,12.67,0.44
E01005040,E01005040 : Bury 026A,4.63,42.04,11.29,4.92,29.28,95.65846599,15.7,2.06,13.07,0.43
E01005041,E01005041 : Bury 026B,3.63,43.37,32.95,0.19,18.63,94.46564885,15.99,2.11,13.08,0.45
E01005042,E01005042 : Bury 026C,4.12,38.15,13.87,8.65,24.59,95.27687296,15.08,2.12,12.67,0.46
E01005043,E01005043 : Bury 026D,4.67,36.33,16.09,1.43,24.9,92.65306122,15.95,2.14,12.98,0.42
E01005044,E01005044 : Bury 026E,5.85,25.96,4,6.74,44.63,85.47368421,15.12,2.14,12.58,0.3
E01005659,E01005659 : Salford 001A,8.17,17.75,4.31,37.64,50.08,91.58730159,12.97,2.02,12.07,0.44
E01005660,E01005660 : Salford 001B,10.26,18.41,5.21,41.23,73.91,92.08731241,13.2,2.03,12.12,0.42
E01005663,E01005663 : Salford 001C,5.45,29.42,14.16,32.04,52.09,94.19642857,12.12,1.79,11.75,0.45
E01005664,E01005664 : Salford 001D,11.29,21.1,4.98,46.62,72.1,88.4057971,14.29,2.27,12.49,0.46
E01005665,E01005665 : Salford 001E,15.88,19.14,2.09,33.37,80.64,87.19211823,14.29,2.27,12.49,0.45
E01005703,E01005703 : Salford 002A,12.35,17.49,3.05,35.46,68.44,90.43824701,14.6,1.99,12.83,0.5
E01005704,E01005704 : Salford 002B,7.18,20.04,4.77,41.74,34.8,93.88794567,13.34,2.02,12.22,0.39
E01005706,E01005706 : Salford 002C,7.63,18.64,2.58,43.55,52.21,93.1402439,14.6,1.99,12.83,0.45
E01005708,E01005708 : Salford 002D,6.97,24.28,4.42,35.36,55.52,94.75138122,13.57,1.85,12.35,0.28
E01005702,E01005702 : Salford 003A,6.6,29.88,13.64,29.28,43.83,94.93006993,15.75,2.04,13.55,0.38
E01005707,E01005707 : Salford 003C,8.33,22.31,4.05,41.91,62.45,92.17731421,15.96,1.97,13.67,0.46
E01033976,E01033976 : Salford 003D,5.7,44.73,29.46,24.63,27.35,98.26732673,16.77,1.89,13.85,0.35
E01033977,E01033977 : Salford 003E,7.93,24.81,3.89,33.52,52.79,96.2962963,15.16,1.9,13.04,0.39
E01005661,E01005661 : Salford 004A,7.93,24.25,14.29,29.23,51.32,94.71598415,12.39,1.83,11.85,0.49
E01005662,E01005662 : Salford 004B,11.28,17.12,4.7,41.22,75.79,90.07874016,12.27,1.9,11.91,0.51
E01005709,E01005709 : Salford 004C,7.17,20.39,3.82,31.48,66.83,91.57392687,12.81,1.87,12.05,0.44
E01005710,E01005710 : Salford 004D,3.7,38.77,34.29,11.31,20.1,96.91577699,13.85,1.89,12.45,0.47
E01005670,E01005670 : Salford 005A,6.61,27.21,3.54,22.2,60.64,87.48466258,16.97,2.42,13.36,0.4
E01005672,E01005672 : Salford 005B,4.76,30.77,9.82,62.52,40.75,94.75409836,16.57,2.31,13.19,0.24
E01005676,E01005676 : Salford 005C,3.27,25.74,19.93,1.09,12.84,97.64065336,18.55,1.92,13.99,0.41
E01005677,E01005677 : Salford 005D,5.11,26.31,9.68,13.49,29.66,93.68575624,17.48,2.17,13.69,0.41
E01005686,E01005686 : Salford 006A,5.16,25.5,2.84,48.11,39.27,91.16719243,17.38,2.1,13.61,0.3
E01005688,E01005688 : Salford 006B,5.84,25.84,4.59,20.83,29.75,95.08448541,17.1,2.26,14.07,0.39
E01005691,E01005691 : Salford 006C,5.47,23.38,5.69,8.68,22.14,97.0282318,17.68,2,14.13,0.43
E01005692,E01005692 : Salford 006D,7.84,22.28,0.69,28.02,68.22,94.38356164,16.94,2.3,13.73,0.37
E01005711,E01005711 : Salford 007A,6.15,27.7,18.31,30.73,20.7,96.01910828,16.56,1.84,13.57,0.44
E01005712,E01005712 : Salford 007B,6.02,29.58,2.38,34.4,52.08,96.19952494,15.18,1.88,13.05,0.35
E01005713,E01005713 : Salford 007C,3.3,37.21,15.93,11.95,12,98.57954545,13.99,2.06,12.54,0.39
E01005714,E01005714 : Salford 007D,6.31,34.08,7.73,10.01,39.77,94.55587393,17.54,1.79,13.82,0.47
E01005715,E01005715 : Salford 007E,3.85,43.12,16.03,18.81,19.02,98.14323607,15.82,1.87,13.1,0.47
E01005718,E01005718 : Salford 007F,4.21,31.12,17.86,32.08,38.11,97.10327456,13.97,1.87,12.48,0.44
E01005673,E01005673 : Salford 008A,4.28,29.41,9.08,31.01,38.39,97.26858877,17.17,2.59,13.19,0.43
E01005678,E01005678 : Salford 008C,7.88,22.34,2.63,26.74,56.55,85.7805255,16.1,2.38,13.01,0.45
E01005679,E01005679 : Salford 008D,8.21,21.59,4.85,13.64,65.86,84.74320242,16.61,2.39,13.05,0.46
E01033978,E01033978 : Salford 008E,6.2,39.79,32.51,19.46,32.27,97.28395062,17.11,2.67,13.11,0.43
E01033979,E01033979 : Salford 008F,15.91,24.55,30.98,26.71,29.7,96.58119658,17.49,2.63,13.16,0.36
E01005687,E01005687 : Salford 009A,4.25,27.97,11.43,43.24,38.05,95.0799508,17.44,1.98,13.72,0.34
E01005689,E01005689 : Salford 009B,11.39,25.42,3.04,16.89,65.34,90.32258065,16.96,2.08,13.44,0.46
E01005690,E01005690 : Salford 009C,5.28,28.95,6.8,30.82,29.19,97.68115942,16.28,2.11,13.23,0.34
E01005693,E01005693 : Salford 009D,3.96,27.44,3.16,59.97,23.02,95.41864139,17.38,2.1,13.66,0.32
E01005646,E01005646 : Salford 010A,3.07,24.57,22.14,5.99,49.55,81.30671506,17.24,2.2,13.48,0.51
E01005649,E01005649 : Salford 010B,3.55,34.78,15.33,8.82,46.83,93.01242236,16.79,2.2,13.26,0.58
E01005650,E01005650 : Salford 010C,9.13,22.57,11.06,19.91,68.35,83.38607595,17.89,2.32,13.53,0.51
E01005651,E01005651 : Salford 010D,6.41,19.75,18.95,13,54.51,78.33935018,17.29,2.23,13.43,0.42
E01005647,E01005647 : Salford 011A,5.82,34.82,9,3.38,48.72,92.46794872,15.64,2.2,12.77,0.59
E01005648,E01005648 : Salford 011B,5.86,42.37,21.74,11.85,42.09,95.2195122,16.83,2.47,13.09,0.54
E01005652,E01005652 : Salford 011C,7.04,25.98,9.68,25.35,45.87,94.71830986,18.11,3.25,13.04,0.47
E01005653,E01005653 : Salford 011D,10.09,26.41,5.4,45.03,70.99,89.2074199,18.49,2.94,13.41,0.47
E01005671,E01005671 : Salford 012A,5.38,24.94,2.91,40.82,52.58,94.17989418,16.57,2.31,13.19,0.31
E01005674,E01005674 : Salford 012B,3.99,28.15,4.34,24.12,36.33,95.33762058,16.32,2.26,13.09,0.46
E01005694,E01005694 : Salford 012C,3.67,30.77,10.84,4.34,21.92,96.95652174,16.91,2.4,13.3,0.36
E01005696,E01005696 : Salford 012D,4.99,38.8,11.19,20.56,24.75,96.36871508,17.16,2.23,13.56,0.35
E01005698,E01005698 : Salford 012E,8.09,22.51,3.59,14.51,68.17,91.90231362,16.53,2.29,13.18,0.45
E01005700,E01005700 : Salford 012F,3.9,29.93,10.37,28.35,35.73,94.52887538,16.5,2.25,13.16,0.41
E01005716,E01005716 : Salford 013A,4.1,42.85,63.69,8.93,13.06,97.91666667,13.73,2.1,12.47,0.49
E01005717,E01005717 : Salford 013B,3.38,50.82,81.67,3.38,9.64,98.22695035,14.15,2.09,12.6,0.49
E01005734,E01005734 : Salford 013C,4.28,31.35,15.02,21.73,30.88,97.76,13.32,2.27,12.03,0.43
E01005735,E01005735 : Salford 013D,3.92,34.53,18.29,3.02,9.72,96.82274247,13.32,2.27,12.03,0.4
E01005736,E01005736 : Salford 013E,4.31,34.21,24.8,24.32,16.32,99.36,13.51,2.48,12.1,0.38
E01005737,E01005737 : Salford 013F,3.65,44.61,62.88,7.12,6.94,98.98477157,13.43,1.99,11.88,0.56
E01005739,E01005739 : Salford 013G,3.56,46.62,59.46,17.77,12.13,97.69820972,12.28,2.34,11.14,0.47
E01005695,E01005695 : Salford 014A,2.66,43.73,36.15,7.96,10.7,98.4,18.2,2.19,14.02,0.49
E01005697,E01005697 : Salford 014B,4.8,37.95,7.08,17.38,16.69,99.22958398,16.78,2.12,13.48,0.4
E01005738,E01005738 : Salford 014C,2.71,44.29,27.13,16.55,15.92,98.41269841,16.23,1.94,12.93,0.5
E01005740,E01005740 : Salford 014D,2.84,46.31,10.57,18,20.8,98.71428571,19.06,1.78,13.97,0.55
E01005741,E01005741 : Salford 014E,3.38,49,39.27,7.59,15.06,98.5380117,16.86,1.98,13.45,0.5
E01005742,E01005742 : Salford 014F,3.77,39.29,9.49,15.36,18.22,99.09638554,17.69,1.98,13.71,0.39
E01005625,E01005625 : Salford 015A,4.34,30.04,9.88,0.33,25.08,93.23432343,17.75,2.99,12.72,0.37
E01005627,E01005627 : Salford 015B,3.09,31.3,4.63,9.26,16.53,96.64570231,18.44,2.92,13.1,0.35
E01005699,E01005699 : Salford 015C,4.74,27.3,11.35,5.15,13.4,97.6284585,17.22,2.5,13.32,0.33
E01005701,E01005701 : Salford 015D,3.58,30.96,26.98,7.37,17.6,97.62569832,17.02,2.49,13.17,0.39
E01005624,E01005624 : Salford 017A,8.38,24.87,4.53,8.52,57.69,89.45205479,18.56,2.76,13.47,0.39
E01005680,E01005680 : Salford 017B,9.86,21.33,2.9,17.13,79.32,91.66666667,19.13,2.76,13.73,0.32
E01005683,E01005683 : Salford 017C,12.03,22.8,4.97,49.89,74.18,92.0993228,19.3,2.7,13.89,0.31
E01033980,E01033980 : Salford 017G,16.67,30.47,4.43,58.04,64.55,89.27738928,18.25,2.63,13.5,0.19
E01033981,E01033981 : Salford 017H,21.86,24.84,4.19,56.89,77.88,83.17503392,19.36,2.49,14.21,0.3
E01005622,E01005622 : Salford 018A,7,40.17,1.5,72.6,44.38,89.67065868,18.45,2.74,13.47,0.27
E01005623,E01005623 : Salford 018B,5.3,40.15,3.85,28.8,18.7,97.35772358,18.97,2.83,13.47,0.31
E01005626,E01005626 : Salford 018C,1.34,29.69,12.57,2.13,11.22,98.83945841,18.44,2.92,13.1,0.39
E01005628,E01005628 : Salford 018D,8.57,35.63,12.67,27,39.03,96.3800905,19.18,2.88,13.47,0.42
E01005725,E01005725 : Salford 019A,9.56,18.48,2.51,38.35,66.79,89.53068592,18.11,2.24,13.81,0.45
E01005726,E01005726 : Salford 019B,5.25,28.03,8.93,40.91,40.33,96.1038961,18.11,2.24,13.52,0.39
E01005727,E01005727 : Salford 019C,6.16,35.87,5.26,40.34,44.75,95.84615385,18.11,2.24,13.81,0.36
E01005728,E01005728 : Salford 019D,4.39,31.74,10.75,17.3,18.4,98.16272966,18.11,2.24,13.46,0.36
E01005733,E01005733 : Salford 019E,6.49,24.22,4.65,7.88,51.92,87.44939271,16.86,2.07,13.21,0.45
E01005631,E01005631 : Salford 020A,9.2,27.14,2.11,2.78,84.85,95.10556622,18.7,2.99,13.14,0.38
E01005632,E01005632 : Salford 020B,5.4,42.14,7.82,28.21,43.28,95.68345324,17.68,2.35,13.19,0.3
E01005633,E01005633 : Salford 020C,6.15,26.46,2.8,31.8,44.21,94.38016529,17.54,2.69,13.17,0.51
E01005634,E01005634 : Salford 020D,3.46,51.56,23.27,14.56,11.71,98.64864865,17.76,2.29,13.89,0.4
E01005635,E01005635 : Salford 020E,4.36,46.39,17.67,7.22,41.18,93.68575624,18.7,2.99,13.14,0.43
E01005636,E01005636 : Salford 020F,3.83,48.09,30.17,4.53,32.24,97.72727273,17.54,2.39,13.35,0.6
E01005637,E01005637 : Salford 020G,3.21,40.49,4.74,48.93,37.99,95.74468085,18.11,2.24,14.11,0.32
E01005629,E01005629 : Salford 021A,5.19,39.02,10.42,12.5,32.84,95.69093611,19.12,2.86,13.47,0.41
E01005630,E01005630 : Salford 021B,4.5,37.31,2.16,51.16,31.22,95.67901235,19.45,3.26,13.1,0.46
E01005719,E01005719 : Salford 021C,9.7,41.33,2.37,12.27,70.92,92.68051434,20.31,3.38,13.38,0.45
E01005722,E01005722 : Salford 021E,8.54,31.17,5.03,37.48,58.87,93.71069182,20.48,3.24,13.44,0.48
E01005723,E01005723 : Salford 021F,7.69,26.67,1.99,50.92,68.71,92.20183486,18.71,2.81,13.53,0.28
E01005724,E01005724 : Salford 021G,4.85,35.86,7.56,2.83,24.69,98.42767296,19.11,3.53,12.72,0.46
E01033982,E01033982 : Salford 021H,10.21,27.95,2.89,38.42,60.79,91.02902375,20.26,3.17,13.45,0.32
E01033983,E01033983 : Salford 021I,10.31,41.84,0.63,21.13,87.03,93.90625,19.97,3.17,13.74,0.22
E01005654,E01005654 : Salford 023A,8.68,47.71,3.58,76.25,58.57,93.94594595,18.6,2.88,13.4,0.24
E01005656,E01005656 : Salford 023B,9.4,28.49,3.78,74.27,62.29,92.58741259,19.21,2.95,13.44,0.22
E01005657,E01005657 : Salford 023C,10.73,30.26,3.47,60.53,59.95,89.69210174,19.21,2.95,13.44,0.23
E01005721,E01005721 : Salford 023D,9.78,28.36,3.44,14.92,53.57,85.11450382,19.84,3.1,13.44,0.48
E01005681,E01005681 : Salford 024C,27.06,20.16,1.63,23.77,90,92.34972678,18.96,2.49,14.31,0.35
E01005682,E01005682 : Salford 024D,16.01,26.6,1.11,0.9,95.37,93.46733668,19.08,2.72,13.87,0.38
E01033984,E01033984 : Salford 024E,10.83,31.39,3.61,46.14,80.52,89.95983936,18.91,2.8,13.66,0.33
E01005729,E01005729 : Salford 025A,10.11,24.06,2.45,26.16,85.18,90.97938144,18.11,2.24,13.11,0.46
E01005730,E01005730 : Salford 025B,5.97,28.79,8.05,29.47,31.37,96.43835616,16.52,2.15,12.99,0.4
E01005731,E01005731 : Salford 025C,9.65,22.32,2.93,30.46,58.35,93.62068966,14.92,1.99,13.11,0.5
E01005732,E01005732 : Salford 025D,9.12,23.63,5.68,29.12,56.04,96.33699634,14.48,1.95,13.16,0.48
E01005599,E01005599 : Salford 026A,13.27,25.36,2.63,27.57,68.04,88.5583524,18.92,2.68,13.42,0.26
E01005600,E01005600 : Salford 026B,4.69,37.69,9.82,41.42,45.71,95.26493799,17.45,2.31,13.54,0.3
E01005601,E01005601 : Salford 026C,10.78,20.24,2.65,53.68,62.39,92.89940828,16.88,2.24,13.26,0.34
E01005602,E01005602 : Salford 026D,9.02,22.63,2.58,16.85,77.03,95.73033708,17.45,2.31,13.54,0.4
E01005603,E01005603 : Salford 027A,5.08,28.79,3.34,65.91,57.39,91.3448735,16.21,2.12,13.13,0.26
E01005604,E01005604 : Salford 027B,6.18,26.2,3.58,34.39,35.21,95.0617284,14.3,1.99,13.15,0.41
E01005605,E01005605 : Salford 027C,5.92,25.88,2.31,63.09,45.59,96.60786974,13.91,1.98,13.15,0.27
E01005638,E01005638 : Salford 027D,4.97,29.73,4.52,40.49,68.28,91.66666667,17.83,2.32,13.17,0.3
E01005639,E01005639 : Salford 029A,12.69,15.39,2.99,69.24,76.23,89.61267606,13.6,1.92,13.37,0.47
E01005640,E01005640 : Salford 029B,8.57,16.47,3.4,19.85,50.94,93.38374291,13.39,1.98,13.69,0.52
E01005641,E01005641 : Salford 029C,7.13,17.88,4.02,9.97,46.6,88.83495146,13.24,2.2,13.54,0.4
E01005642,E01005642 : Salford 029D,2.81,22.84,28.26,25.3,17.75,97.22772277,13.3,2.22,12.97,0.38
E01005643,E01005643 : Salford 029E,6.01,23.33,11.26,10.36,22.86,98.1981982,12.49,1.93,12.55,0.4
E01005644,E01005644 : Salford 029F,3.64,26.39,9.69,44.01,17.93,98.52459016,13.21,2.36,12.43,0.35
E01005645,E01005645 : Salford 029G,3.5,23.48,16.72,3.89,12.01,98.30795262,13.41,2.19,13.4,0.4
E01005616,E01005616 : Salford 030A,7.97,18.56,5.4,17.18,46.15,96.72667758,10.35,2.08,12.54,0.49
E01005617,E01005617 : Salford 030B,5.31,21.99,15.37,27.11,26.16,96.36363636,11.36,2.15,12.5,0.47
E01005618,E01005618 : Salford 030C,4.67,27.2,16.19,27.13,42.84,96.50273224,11.45,2.34,12.15,0.38
E01005619,E01005619 : Salford 030D,6.77,19.7,11.48,28.4,34.31,96.51837524,10.62,2.17,12.06,0.43
E01005620,E01005620 : Salford 030E,4.06,31.11,18.67,25.24,33.21,97.13740458,13.18,2.4,12.93,0.36
E01005621,E01005621 : Salford 030F,4.94,25.33,15.67,30.45,53.06,95.66878981,11.55,2.06,12.34,0.42
E01005613,E01005613 : Salford 031A,19.19,20.31,7.48,28.02,84.12,80.81918082,19.07,2.27,13.63,0.37
E01005612,E01005612 : Salford 031B,11.15,22.32,3.03,28.31,87.78,88.74172185,18.49,2.34,13.53,0.36
E01005614,E01005614 : Salford 031C,5.13,15.53,11.83,50.57,62.78,83.5483871,18.49,2.34,13.53,0.3
E01033985,E01033985 : Salford 032A,10.57,32.72,5.91,34.27,85.27,89.92592593,19.78,2.45,14.32,0.35
E01033986,E01033986 : Salford 032B,6.65,48.25,6.64,14.78,69.7,92.44712991,19.36,2.49,14.12,0.34
E01005611,E01005611 : Salford 032C,11.34,28.23,4.48,35.78,76.93,90.74427481,19.66,2.46,13.93,0.38
E01005615,E01005615 : Salford 032D,19.09,17.61,4.8,46.22,72.81,85.71428571,17.9,2.4,13.44,0.35
E01033987,E01033987 : Salford 033A,7.01,67.26,0.17,17.04,80.93,97.42268041,20.14,2.44,14.97,0.24
E01033988,E01033988 : Salford 033B,8.66,68.46,0.12,0.12,87.66,71.81926278,20.14,2.44,14.97,0.14
E01033989,E01033989 : Salford 033C,5.46,61.62,0.44,9.29,75.66,84.66076696,19.55,2.46,14.64,0.21
E01033990,E01033990 : Salford 033D,8.99,68.51,0.15,0.3,90.21,92.1686747,20.14,2.44,14.45,0.12
E01033330,E01033330 : Salford 033E,16.52,30.52,2.05,11.82,83.43,91.6464891,19.85,2.45,14.35,0.39
E01032909,E01032909 : Salford 033F,4.88,74.06,0.19,0.58,82.9,95.11025887,20.14,2.44,14.97,0.13
E01033991,E01033991 : Salford 034A,9.94,50.37,4.66,12.85,77.72,93.03797468,18.74,2.49,14.24,0.18
E01033992,E01033992 : Salford 034B,5.62,73.73,0.13,1.59,75.5,95.76719577,18.52,2.46,13.72,0.14
E01005610,E01005610 : Salford 034C,29.03,15.85,10.42,55.42,78.13,87.91666667,18.96,2.49,14.31,0.39
E01032684,E01032684 : Salford 034D,10.42,41.58,1.43,18.07,71.68,90.50632911,19.35,2.47,14.36,0.47
