LSOA21CD,2021 super output area - lower layer,Total: All usual residents,Very good health,Good health,Fair health,Bad health,Very bad health
E01005615,E01005615 : Salford 032D,2372,1479,542,197,118,36
E01033987,E01033987 : Salford 033A,1137,698,379,48,9,3
E01033988,E01033988 : Salford 033B,1310,779,436,79,15,1
E01033989,E01033989 : Salford 033C,1132,608,385,96,33,10
E01033990,E01033990 : Salford 033D,1189,771,329,74,11,4
E01033330,E01033330 : Salford 033E,1541,655,504,236,104,42
E01032909,E01032909 : Salford 033F,1716,1107,521,75,13,0
E01033991,E01033991 : Salford 034A,1561,736,549,162,94,20
E01033992,E01033992 : Salford 034B,1400,868,452,67,10,3
E01005610,E01005610 : Salford 034C,2940,1432,1124,277,79,28
E01032684,E01032684 : Salford 034D,1386,692,475,138,67,14
E01032906,E01032906 : Salford 034E,2044,1148,650,174,56,16
E01032914,E01032914 : Salford 035A,2121,1114,750,193,54,10
E01032912,E01032912 : Salford 035B,2273,1106,725,266,130,46
E01005667,E01005667 : Salford 035C,2274,1057,732,315,128,42
E01033993,E01033993 : Salford 036A,1813,1027,588,137,45,16
E01033994,E01033994 : Salford 036B,1173,706,397,59,9,2
E01032915,E01032915 : Salford 036C,2138,1077,680,242,105,34
E01033995,E01033995 : Salford 037A,1206,676,428,80,16,6
E01033996,E01033996 : Salford 037B,1215,706,396,100,10,3
E01033997,E01033997 : Salford 037C,1030,555,356,102,16,1
E01033998,E01033998 : Salford 037D,1330,755,456,92,22,5
E01033999,E01033999 : Salford 037E,1222,665,425,116,16,0
E01005098,E01005098 : Manchester 001A,1631,708,497,243,129,54
E01005099,E01005099 : Manchester 001B,1943,976,568,231,122,46
E01005100,E01005100 : Manchester 001C,1658,783,494,234,111,36
E01005102,E01005102 : Manchester 001D,1370,635,465,205,47,18
E01005103,E01005103 : Manchester 001E,1835,802,555,290,136,52
E01005101,E01005101 : Manchester 002A,1870,843,570,289,123,45
E01005135,E01005135 : Manchester 002B,1868,913,571,259,96,29
E01005136,E01005136 : Manchester 002C,1510,631,520,236,87,36
E01005138,E01005138 : Manchester 002D,2480,1264,713,330,142,31
E01034107,E01034107 : Manchester 002F,1412,730,432,183,57,10
E01034108,E01034108 : Manchester 002G,2074,1106,622,218,93,35
E01005139,E01005139 : Manchester 003B,1966,946,662,253,88,17
E01005141,E01005141 : Manchester 003C,1974,884,589,319,140,42
E01005251,E01005251 : Manchester 003D,1676,846,534,186,85,25
E01005252,E01005252 : Manchester 003E,1931,863,572,333,113,50
E01033685,E01033685 : Manchester 003F,1585,858,465,180,63,19
E01033687,E01033687 : Manchester 003G,1341,464,380,303,156,38
E01005104,E01005104 : Manchester 004A,1975,959,640,246,104,26
E01005160,E01005160 : Manchester 004B,1974,1005,612,248,86,23
E01005161,E01005161 : Manchester 004C,1814,851,629,240,61,33
E01005162,E01005162 : Manchester 004D,1897,965,565,249,95,23
E01005163,E01005163 : Manchester 004E,1786,873,579,227,81,26
E01005247,E01005247 : Manchester 005A,1421,639,483,196,82,21
E01005248,E01005248 : Manchester 005B,1331,591,439,205,70,26
E01005249,E01005249 : Manchester 005C,2199,1044,698,300,130,27
E01005250,E01005250 : Manchester 005D,2237,1143,663,299,102,30
E01005253,E01005253 : Manchester 005E,1705,814,519,240,96,36
E01005254,E01005254 : Manchester 005F,1603,801,522,203,59,18
E01005164,E01005164 : Manchester 006A,2343,1204,700,285,111,43
E01005205,E01005205 : Manchester 006B,2191,1055,672,284,146,34
E01005206,E01005206 : Manchester 006C,1875,944,558,235,110,28
E01005207,E01005207 : Manchester 006D,2018,1110,614,194,83,17
E01005223,E01005223 : Manchester 007A,1617,841,488,179,93,16
E01005224,E01005224 : Manchester 007B,2118,1195,606,205,94,18
E01005225,E01005225 : Manchester 007C,2093,1026,622,261,141,43
E01005226,E01005226 : Manchester 007D,1938,1088,537,219,85,9
E01005229,E01005229 : Manchester 007E,1504,751,475,202,65,11
E01005145,E01005145 : Manchester 008A,3006,1615,902,314,127,48
E01005149,E01005149 : Manchester 008C,2184,1172,644,255,93,20
E01005165,E01005165 : Manchester 008D,2349,1203,677,310,128,31
E01005166,E01005166 : Manchester 008E,2142,1054,630,307,121,30
E01005167,E01005167 : Manchester 008F,2315,1217,743,250,73,32
E01034109,E01034109 : Manchester 008G,1525,845,457,156,52,15
E01034110,E01034110 : Manchester 008H,1497,776,488,170,52,11
E01005202,E01005202 : Manchester 009A,2383,1249,610,280,173,71
E01005203,E01005203 : Manchester 009B,2024,929,594,295,147,59
E01005227,E01005227 : Manchester 009D,2077,1130,575,228,119,25
E01005228,E01005228 : Manchester 009E,2251,1177,623,278,136,37
E01033678,E01033678 : Manchester 009F,1776,925,525,213,77,36
E01033679,E01033679 : Manchester 009G,1397,629,399,206,115,48
E01005256,E01005256 : Manchester 011A,2640,1283,782,363,167,45
E01005257,E01005257 : Manchester 011B,2009,947,600,289,135,38
E01005258,E01005258 : Manchester 011C,1800,827,500,297,135,41
E01005259,E01005259 : Manchester 011D,1773,797,554,244,135,43
E01005260,E01005260 : Manchester 011E,1469,695,447,217,90,20
E01005093,E01005093 : Manchester 012A,1842,890,504,293,127,28
E01005094,E01005094 : Manchester 012B,1690,856,468,202,126,38
E01005097,E01005097 : Manchester 012C,1950,1026,504,256,122,42
E01005255,E01005255 : Manchester 012D,1665,737,509,225,153,41
E01005261,E01005261 : Manchester 012E,1786,843,498,257,132,56
E01005092,E01005092 : Manchester 015A,1945,979,541,240,124,61
E01005105,E01005105 : Manchester 015C,2954,1624,866,327,111,26
E01005106,E01005106 : Manchester 015D,2333,1164,698,281,136,54
E01005107,E01005107 : Manchester 015E,2033,1017,608,253,119,36
E01033668,E01033668 : Manchester 015F,1155,624,322,146,44,19
E01033669,E01033669 : Manchester 015G,1427,646,463,203,89,26
E01005189,E01005189 : Manchester 017D,1688,672,524,275,157,60
E01005190,E01005190 : Manchester 017E,2449,1201,778,309,124,37
E01034111,E01034111 : Manchester 017G,1571,781,449,216,95,30
E01034112,E01034112 : Manchester 017H,1851,941,559,230,105,16
E01034113,E01034113 : Manchester 017I,1486,792,415,172,77,30
E01034114,E01034114 : Manchester 017J,1917,957,619,217,103,21
E01005061,E01005061 : Manchester 018A,1786,861,519,265,103,38
E01005063,E01005063 : Manchester 018C,2118,1114,590,278,94,42
E01005065,E01005065 : Manchester 018D,2176,1118,669,252,98,39
E01005066,E01005066 : Manchester 018E,1052,494,356,130,54,18
E01034115,E01034115 : Manchester 018F,1894,1067,572,171,67,17
E01034116,E01034116 : Manchester 018G,1110,611,365,90,36,8
E01005208,E01005208 : Manchester 019A,2808,1501,936,261,90,20
E01005210,E01005210 : Manchester 019C,2647,1358,985,222,60,22
E01005214,E01005214 : Manchester 019D,2389,1316,785,209,66,13
E01034117,E01034117 : Manchester 019E,2202,1285,732,147,26,12
E01034118,E01034118 : Manchester 019F,1026,466,345,134,59,22
E01005067,E01005067 : Manchester 020A,2074,1113,593,220,108,40
E01005186,E01005186 : Manchester 020B,2896,1408,865,379,168,76
E01005232,E01005232 : Manchester 020C,1926,960,598,227,97,44
E01005235,E01005235 : Manchester 020D,2079,1008,630,273,135,33
E01005239,E01005239 : Manchester 020E,1802,883,502,260,102,55
E01005187,E01005187 : Manchester 021A,2246,1191,633,251,109,62
E01005188,E01005188 : Manchester 021B,1919,911,664,232,81,31
E01005191,E01005191 : Manchester 021C,1860,851,607,257,114,31
E01005192,E01005192 : Manchester 021D,1733,823,567,230,77,36
E01005193,E01005193 : Manchester 021E,1770,818,584,242,90,36
E01005230,E01005230 : Manchester 022B,2094,959,766,262,81,26
E01005231,E01005231 : Manchester 022C,2503,1286,933,205,65,14
E01005236,E01005236 : Manchester 022D,2265,1191,696,270,72,36
E01005237,E01005237 : Manchester 022E,2037,963,660,295,92,27
E01034119,E01034119 : Manchester 022H,2667,1332,890,305,108,32
E01005195,E01005195 : Manchester 023A,2447,1277,716,287,120,47
E01005197,E01005197 : Manchester 023C,1728,760,564,247,111,46
E01005198,E01005198 : Manchester 023D,2050,981,629,264,140,36
E01005201,E01005201 : Manchester 023E,2127,1174,647,210,69,27
E01034120,E01034120 : Manchester 023F,1776,929,533,175,107,32
E01034121,E01034121 : Manchester 023G,1422,806,423,139,32,22
E01005243,E01005243 : Manchester 024B,2911,1436,949,338,135,53
E01005245,E01005245 : Manchester 024C,2803,1497,830,323,102,51
E01005246,E01005246 : Manchester 024D,2540,1404,781,251,75,29
E01034122,E01034122 : Manchester 024E,1868,1021,601,177,54,15
E01034123,E01034123 : Manchester 024F,1761,931,512,205,91,22
E01005244,E01005244 : Manchester 025C,2992,1608,987,291,85,21
E01005285,E01005285 : Manchester 025D,1536,780,456,189,77,34
E01005288,E01005288 : Manchester 025E,1823,934,610,187,73,19
E01034124,E01034124 : Manchester 025F,1571,857,467,175,59,13
E01034125,E01034125 : Manchester 025G,1554,830,479,183,50,12
E01034126,E01034126 : Manchester 025H,1655,917,512,169,43,14
E01034127,E01034127 : Manchester 025I,1363,677,477,145,43,21
E01005280,E01005280 : Manchester 026A,2177,1037,732,276,96,36
E01005281,E01005281 : Manchester 026B,2571,1314,971,202,71,13
E01005284,E01005284 : Manchester 026C,2598,1362,929,231,49,27
E01005286,E01005286 : Manchester 026D,2301,1194,821,198,68,20
E01005287,E01005287 : Manchester 026E,2347,1087,724,339,142,55
E01005297,E01005297 : Manchester 028A,2437,1213,773,277,137,37
E01005298,E01005298 : Manchester 028B,1814,966,587,180,70,11
E01005302,E01005302 : Manchester 028C,2109,1029,679,278,92,31
E01033680,E01033680 : Manchester 028E,1261,608,415,158,63,17
E01033686,E01033686 : Manchester 028F,1319,638,449,153,60,19
E01005150,E01005150 : Manchester 029A,1696,881,586,175,46,8
E01005151,E01005151 : Manchester 029B,1478,739,466,177,71,25
E01005152,E01005152 : Manchester 029C,1435,868,410,123,27,7
E01005159,E01005159 : Manchester 029D,1610,836,553,169,39,13
E01005296,E01005296 : Manchester 029E,1567,852,458,178,56,23
E01005299,E01005299 : Manchester 029F,1579,795,512,190,67,15
E01005178,E01005178 : Manchester 030A,2010,1028,622,237,83,40
E01005179,E01005179 : Manchester 030B,2228,1108,755,248,87,30
E01005180,E01005180 : Manchester 030C,1920,838,607,289,140,46
E01005181,E01005181 : Manchester 030D,2227,1124,659,314,94,36
E01005182,E01005182 : Manchester 030E,1619,800,492,211,91,25
E01005183,E01005183 : Manchester 030F,1792,851,494,269,127,51
E01005219,E01005219 : Manchester 031A,2277,1080,787,296,91,23
E01005220,E01005220 : Manchester 031B,2138,1111,694,238,74,21
E01005221,E01005221 : Manchester 031C,2557,1255,900,287,96,19
E01005222,E01005222 : Manchester 031D,2164,1040,712,260,125,27
E01005184,E01005184 : Manchester 032A,2295,1252,738,222,55,28
E01005185,E01005185 : Manchester 032B,3261,1770,1215,236,33,7
E01005271,E01005271 : Manchester 032C,1985,1039,736,156,42,12
E01034128,E01034128 : Manchester 032F,3735,1988,1253,379,95,20
E01005154,E01005154 : Manchester 033A,1427,823,435,102,35,32
E01005156,E01005156 : Manchester 033B,1479,840,468,129,31,11
E01005158,E01005158 : Manchester 033C,1491,770,438,196,71,16
E01005300,E01005300 : Manchester 033D,1547,745,536,189,63,14
E01005301,E01005301 : Manchester 033E,1479,805,473,158,36,7
E01005118,E01005118 : Manchester 034A,1474,742,464,175,78,15
E01005120,E01005120 : Manchester 034B,1903,896,638,243,98,28
E01005215,E01005215 : Manchester 034C,2045,993,694,257,79,22
E01005216,E01005216 : Manchester 034D,1529,795,501,168,45,20
E01005217,E01005217 : Manchester 034E,2053,1122,623,234,59,15
E01005218,E01005218 : Manchester 034F,1689,793,535,233,95,33
E01005270,E01005270 : Manchester 035A,1768,806,556,261,107,38
E01005272,E01005272 : Manchester 035B,1971,857,588,313,158,55
E01005273,E01005273 : Manchester 035C,1667,884,564,147,54,18
E01005278,E01005278 : Manchester 035D,1853,978,601,191,67,16
E01005279,E01005279 : Manchester 035E,2198,1123,652,302,92,29
E01005305,E01005305 : Manchester 036A,1709,912,554,186,46,11
E01005309,E01005309 : Manchester 036B,2232,1204,730,220,58,20
E01005310,E01005310 : Manchester 036C,1986,1062,651,175,74,24
E01005311,E01005311 : Manchester 036D,1825,930,632,185,64,14
E01005312,E01005312 : Manchester 036E,1982,1074,637,169,87,15
E01005082,E01005082 : Manchester 037A,1799,904,527,216,98,54
E01005153,E01005153 : Manchester 037B,1544,851,453,159,61,20
E01005155,E01005155 : Manchester 037C,1434,844,432,118,31,9
E01005157,E01005157 : Manchester 037D,1530,937,463,95,31,4
E01005274,E01005274 : Manchester 038A,1751,814,590,240,82,25
E01005275,E01005275 : Manchester 038B,1783,1090,540,108,36,9
E01005276,E01005276 : Manchester 038C,1464,806,444,164,38,12
E01005277,E01005277 : Manchester 038D,1677,1055,482,98,32,10
E01005076,E01005076 : Manchester 039A,1348,810,389,110,25,14
E01005081,E01005081 : Manchester 039C,1824,836,580,254,126,28
E01005083,E01005083 : Manchester 039D,1837,1105,565,122,35,10
E01033670,E01033670 : Manchester 039E,1446,967,403,59,15,2
E01033671,E01033671 : Manchester 039F,1788,1138,443,116,30,61
E01005125,E01005125 : Manchester 040A,1575,786,473,192,89,35
E01005304,E01005304 : Manchester 040B,1959,1145,541,222,38,13
E01005306,E01005306 : Manchester 040C,1580,913,458,156,43,10
E01005307,E01005307 : Manchester 040D,1800,1000,595,144,51,10
E01005308,E01005308 : Manchester 040E,1688,880,523,201,66,18
E01005119,E01005119 : Manchester 041A,1736,800,533,244,109,50
E01005121,E01005121 : Manchester 041B,1687,746,573,199,142,27
E01005122,E01005122 : Manchester 041C,1909,944,602,242,94,27
E01005123,E01005123 : Manchester 041D,1774,848,546,244,98,38
E01005124,E01005124 : Manchester 041E,1861,890,585,239,107,40
E01005077,E01005077 : Manchester 042A,1674,783,522,221,112,36
E01005078,E01005078 : Manchester 042B,1556,811,497,178,52,18
E01005079,E01005079 : Manchester 042C,1642,860,520,199,48,15
E01005084,E01005084 : Manchester 042D,2012,995,654,243,95,25
E01005172,E01005172 : Manchester 043A,1533,798,479,182,55,19
E01005173,E01005173 : Manchester 043B,1620,935,468,154,44,19
E01005174,E01005174 : Manchester 043C,1558,943,464,111,34,6
E01005175,E01005175 : Manchester 043D,1590,868,474,173,57,18
E01005176,E01005176 : Manchester 043E,1682,976,516,122,54,14
E01005177,E01005177 : Manchester 043F,1303,690,415,140,35,23
E01005115,E01005115 : Manchester 044A,1898,946,590,246,90,26
E01005262,E01005262 : Manchester 044B,1785,836,595,221,99,34
E01005264,E01005264 : Manchester 044C,1649,693,535,285,111,25
E01005265,E01005265 : Manchester 044D,1735,786,563,236,117,33
E01005266,E01005266 : Manchester 044E,2052,975,644,292,120,21
E01005126,E01005126 : Manchester 045A,2002,1052,637,238,58,17
E01005168,E01005168 : Manchester 045B,1404,809,434,119,29,13
E01005169,E01005169 : Manchester 045C,1370,807,404,115,37,7
E01005170,E01005170 : Manchester 045D,1520,836,450,170,43,21
E01005171,E01005171 : Manchester 045E,1742,931,534,185,76,16
E01005263,E01005263 : Manchester 046A,1736,735,552,304,104,41
E01005267,E01005267 : Manchester 046B,1524,741,466,214,85,18
E01005268,E01005268 : Manchester 046C,2185,1138,670,261,91,25
E01005269,E01005269 : Manchester 046D,1534,746,505,195,70,18
E01005069,E01005069 : Manchester 047A,1418,690,452,188,65,23
E01005111,E01005111 : Manchester 047B,1461,698,449,207,83,24
E01005113,E01005113 : Manchester 047C,1670,665,524,321,120,40
E01005114,E01005114 : Manchester 047D,1744,788,642,221,76,17
E01005116,E01005116 : Manchester 047E,2089,1024,633,291,109,32
E01005071,E01005071 : Manchester 048A,1735,766,594,244,94,37
E01005072,E01005072 : Manchester 048B,1780,867,569,205,101,38
E01005073,E01005073 : Manchester 048C,1536,724,518,218,64,12
E01005112,E01005112 : Manchester 048D,1723,836,547,224,95,21
E01005117,E01005117 : Manchester 048E,2455,1311,632,342,133,37
E01005085,E01005085 : Manchester 049A,1673,853,484,214,100,22
E01005086,E01005086 : Manchester 049B,1909,864,624,252,124,45
E01005089,E01005089 : Manchester 049C,1970,912,623,280,129,26
E01005289,E01005289 : Manchester 049D,1702,671,514,323,141,53
E01005295,E01005295 : Manchester 049E,2641,1338,840,296,129,38
E01005087,E01005087 : Manchester 050A,2304,1052,717,337,157,41
E01005088,E01005088 : Manchester 050B,1933,848,626,269,137,53
E01005090,E01005090 : Manchester 050C,1891,781,601,318,160,31
E01005091,E01005091 : Manchester 050D,2381,1210,729,285,110,47
E01005291,E01005291 : Manchester 050E,1482,621,448,274,101,38
E01005068,E01005068 : Manchester 051A,1690,770,530,250,106,34
E01005070,E01005070 : Manchester 051B,1847,817,609,264,118,39
E01005074,E01005074 : Manchester 051C,1623,721,525,241,103,33
E01005075,E01005075 : Manchester 051D,1548,703,422,249,138,36
E01005319,E01005319 : Manchester 051E,2323,1097,736,308,120,62
E01005290,E01005290 : Manchester 052A,1690,749,505,267,131,38
E01005292,E01005292 : Manchester 052B,1522,647,512,237,100,26
E01005293,E01005293 : Manchester 052C,1174,536,403,171,48,16
E01005294,E01005294 : Manchester 052D,1617,776,520,219,83,19
E01005317,E01005317 : Manchester 052E,2022,869,651,351,113,38
E01005313,E01005313 : Manchester 053A,1515,682,497,213,100,23
E01005314,E01005314 : Manchester 053B,1695,801,535,241,89,29
E01005315,E01005315 : Manchester 053C,1726,667,556,310,141,52
E01005316,E01005316 : Manchester 053D,1640,846,483,219,75,17
E01005318,E01005318 : Manchester 053E,1990,876,617,301,107,89
E01005130,E01005130 : Manchester 054A,1446,642,464,209,89,42
E01033651,E01033651 : Manchester 054B,1691,961,586,111,27,6
E01033658,E01033658 : Manchester 054C,1393,783,501,81,22,6
E01033664,E01033664 : Manchester 054D,1859,1085,631,122,18,3
E01033667,E01033667 : Manchester 054E,1490,829,491,114,40,16
E01005128,E01005128 : Manchester 055A,2027,1198,705,113,9,2
E01033653,E01033653 : Manchester 055B,1851,932,653,195,52,19
E01033654,E01033654 : Manchester 055C,1791,1064,608,100,18,1
E01033661,E01033661 : Manchester 055E,1987,1103,638,161,66,19
E01034129,E01034129 : Manchester 055F,1082,626,373,76,7,0
E01034130,E01034130 : Manchester 055G,1392,882,413,87,8,2
E01005143,E01005143 : Manchester 056A,3007,1576,933,335,111,52
E01033655,E01033655 : Manchester 056B,1267,796,393,63,14,1
E01033665,E01033665 : Manchester 056C,1522,820,530,117,44,11
E01033676,E01033676 : Manchester 056D,2006,967,553,307,135,44
E01005212,E01005212 : Manchester 057A,3127,1544,1206,274,76,27
E01033656,E01033656 : Manchester 057B,2718,1540,1029,136,12,1
E01033662,E01033662 : Manchester 057C,2015,1200,651,113,38,13
E01005142,E01005142 : Manchester 058A,2293,1167,663,289,127,47
E01005147,E01005147 : Manchester 058B,2783,1456,830,338,116,43
E01033674,E01033674 : Manchester 058C,2080,916,740,277,106,41
E01033675,E01033675 : Manchester 058D,2208,1220,627,229,99,33
E01005213,E01005213 : Manchester 059A,2393,1113,814,300,132,34
E01033660,E01033660 : Manchester 059B,1438,893,476,63,4,2
E01033672,E01033672 : Manchester 059C,1704,914,528,167,60,35
E01033673,E01033673 : Manchester 059D,1444,898,480,54,11,1
E01033677,E01033677 : Manchester 060A,1017,632,325,54,5,1
E01033681,E01033681 : Manchester 060B,1330,824,411,78,14,3
E01033682,E01033682 : Manchester 060C,1223,701,401,98,17,6
E01034131,E01034131 : Manchester 060E,1024,650,315,51,8,0
E01034132,E01034132 : Manchester 060F,1832,1198,546,76,11,1
E01005129,E01005129 : Manchester 061A,1840,910,575,222,93,40
E01005132,E01005132 : Manchester 061B,2136,1013,679,282,119,43
E01034133,E01034133 : Manchester 061C,1868,977,507,224,114,46
E01034134,E01034134 : Manchester 061D,1193,785,346,56,4,2
E01034135,E01034135 : Manchester 062A,1113,674,335,69,28,7
E01033688,E01033688 : Manchester 062B,1709,778,469,291,124,47
E01034136,E01034136 : Manchester 062C,1010,637,289,75,7,2
E01033684,E01033684 : Manchester 062D,1820,1089,621,97,10,3
E01005234,E01005234 : Manchester 063A,2313,1119,774,301,87,32
E01005233,E01005233 : Manchester 063B,2936,1484,931,362,121,38
E01034137,E01034137 : Manchester 063C,1732,801,622,214,62,33
E01005238,E01005238 : Manchester 063D,2298,1198,715,283,76,26
E01005200,E01005200 : Manchester 064A,2459,1145,809,336,131,38
E01034138,E01034138 : Manchester 064B,1385,695,451,175,48,16
E01005199,E01005199 : Manchester 064C,2514,1309,799,290,93,23
E01005518,E01005518 : Rochdale 001A,1592,785,478,218,87,24
E01005520,E01005520 : Rochdale 001B,1715,791,610,228,71,15
E01005522,E01005522 : Rochdale 001C,1484,658,494,224,82,26
E01005523,E01005523 : Rochdale 001D,1832,888,598,255,75,16
E01005519,E01005519 : Rochdale 002A,1564,842,498,166,45,13
E01005594,E01005594 : Rochdale 002B,1512,721,532,172,72,15
E01005597,E01005597 : Rochdale 002C,1979,1045,634,220,67,13
E01005598,E01005598 : Rochdale 002D,1549,707,571,207,53,11
E01005516,E01005516 : Rochdale 003A,1281,627,437,159,49,9
E01005517,E01005517 : Rochdale 003B,1435,620,512,219,64,20
E01005521,E01005521 : Rochdale 003C,1451,720,464,203,50,14
E01005596,E01005596 : Rochdale 003D,2156,1083,723,267,67,16
E01005578,E01005578 : Rochdale 004A,1545,653,508,255,94,35
E01005579,E01005579 : Rochdale 004B,1861,922,590,224,96,29
E01005586,E01005586 : Rochdale 004C,1615,729,479,259,102,46
E01005593,E01005593 : Rochdale 004D,2058,1063,635,259,74,27
E01005595,E01005595 : Rochdale 004E,1330,459,415,268,143,45
E01005489,E01005489 : Rochdale 005A,1249,556,467,166,51,9
E01005490,E01005490 : Rochdale 005B,1571,599,605,242,105,20
E01005491,E01005491 : Rochdale 005C,1435,613,524,216,68,14
E01005493,E01005493 : Rochdale 005D,1759,885,587,217,57,13
E01005494,E01005494 : Rochdale 005E,1759,809,599,243,89,19
E01005495,E01005495 : Rochdale 005F,1769,743,627,282,91,26
E01005488,E01005488 : Rochdale 006A,1507,865,486,120,29,7
E01005492,E01005492 : Rochdale 006B,1534,742,498,232,47,15
E01005499,E01005499 : Rochdale 006C,1512,763,497,172,63,17
E01005571,E01005571 : Rochdale 006D,1648,908,526,148,49,17
E01005570,E01005570 : Rochdale 007A,1307,617,448,151,81,10
E01005572,E01005572 : Rochdale 007B,1499,795,465,175,51,13
E01005573,E01005573 : Rochdale 007C,1432,767,474,129,46,16
E01005574,E01005574 : Rochdale 007D,1728,930,543,183,60,12
E01005587,E01005587 : Rochdale 007E,1366,781,438,112,21,14
E01005588,E01005588 : Rochdale 007F,1316,474,475,243,99,25
E01005580,E01005580 : Rochdale 008A,1651,791,562,221,64,13
E01005581,E01005581 : Rochdale 008B,1971,963,593,253,111,51
E01005583,E01005583 : Rochdale 008D,1746,774,547,279,110,36
E01005585,E01005585 : Rochdale 008F,1566,749,540,181,80,16
E01034234,E01034234 : Rochdale 008H,1763,859,571,216,92,25
E01034235,E01034235 : Rochdale 008I,1666,768,544,235,95,24
E01005496,E01005496 : Rochdale 009A,1322,582,462,181,74,23
E01005589,E01005589 : Rochdale 009B,1702,791,583,236,71,21
E01005590,E01005590 : Rochdale 009C,1907,849,688,260,87,23
E01005591,E01005591 : Rochdale 009D,1589,775,497,246,58,13
E01005592,E01005592 : Rochdale 009E,1639,726,574,222,94,23
E01005472,E01005472 : Rochdale 010A,1647,741,555,222,98,31
E01005473,E01005473 : Rochdale 010B,1697,797,557,230,90,23
E01005482,E01005482 : Rochdale 010C,1660,622,510,305,173,50
E01005483,E01005483 : Rochdale 010D,1485,570,537,249,106,23
E01005484,E01005484 : Rochdale 010E,2032,877,703,276,141,35
E01005486,E01005486 : Rochdale 010F,1701,799,583,223,72,24
E01005487,E01005487 : Rochdale 010G,1788,841,598,248,82,19
E01005474,E01005474 : Rochdale 011A,1318,586,433,183,104,12
E01005575,E01005575 : Rochdale 011B,1716,811,613,225,50,17
E01005576,E01005576 : Rochdale 011C,1523,813,480,178,41,11
E01005577,E01005577 : Rochdale 011D,1456,788,456,165,39,8
E01005469,E01005469 : Rochdale 012A,1822,819,674,234,79,16
E01005563,E01005563 : Rochdale 012B,2169,1000,752,303,82,32
E01005565,E01005565 : Rochdale 012C,1570,731,477,242,94,26
E01005566,E01005566 : Rochdale 012D,2344,1104,800,299,117,24
E01005568,E01005568 : Rochdale 012E,1940,944,556,310,107,23
E01005569,E01005569 : Rochdale 012F,1793,777,606,271,105,34
E01005556,E01005556 : Rochdale 013A,1529,668,553,222,70,16
E01005559,E01005559 : Rochdale 013B,1469,621,465,262,90,31
E01005560,E01005560 : Rochdale 013C,1462,615,521,242,69,15
E01005567,E01005567 : Rochdale 013D,1880,911,634,239,76,20
E01005555,E01005555 : Rochdale 014A,1385,712,464,159,40,10
E01005557,E01005557 : Rochdale 014B,1139,503,412,173,34,17
E01005558,E01005558 : Rochdale 014C,1594,714,524,244,83,29
E01005561,E01005561 : Rochdale 014D,1412,624,516,199,64,9
E01005562,E01005562 : Rochdale 014E,1509,706,478,209,87,29
E01005470,E01005470 : Rochdale 015A,2033,975,680,245,95,38
E01005471,E01005471 : Rochdale 015B,1696,804,564,230,79,19
E01005475,E01005475 : Rochdale 015C,1778,772,607,266,106,27
E01005485,E01005485 : Rochdale 015D,2377,1060,734,364,169,50
E01005564,E01005564 : Rochdale 015E,2410,1196,744,331,111,28
E01005464,E01005464 : Rochdale 016A,1966,935,610,267,117,37
E01005465,E01005465 : Rochdale 016B,1810,830,612,234,111,23
E01005466,E01005466 : Rochdale 016C,2485,1077,789,381,177,61
E01005467,E01005467 : Rochdale 016D,1973,914,613,277,128,41
E01005468,E01005468 : Rochdale 016E,2166,1280,633,192,48,13
E01005476,E01005476 : Rochdale 017A,1793,862,608,230,71,22
E01005477,E01005477 : Rochdale 017B,1771,709,616,298,113,35
E01005478,E01005478 : Rochdale 017C,1587,679,570,237,77,24
E01005479,E01005479 : Rochdale 017D,1977,953,620,289,97,18
E01005480,E01005480 : Rochdale 017E,1645,707,549,263,88,38
E01005481,E01005481 : Rochdale 017F,1679,742,536,269,102,30
E01005497,E01005497 : Rochdale 018A,1891,897,637,228,98,31
E01005501,E01005501 : Rochdale 018B,1784,672,579,312,173,48
E01005502,E01005502 : Rochdale 018C,1377,600,435,243,66,33
E01005504,E01005504 : Rochdale 018D,1641,754,526,257,78,26
E01005505,E01005505 : Rochdale 018E,2185,1053,721,288,84,39
E01005509,E01005509 : Rochdale 018F,1442,522,530,252,116,22
E01005510,E01005510 : Rochdale 019A,1095,509,380,148,50,8
E01005511,E01005511 : Rochdale 019B,1253,553,401,200,86,13
E01005512,E01005512 : Rochdale 019C,1440,623,520,201,77,19
E01005513,E01005513 : Rochdale 019D,1555,685,499,245,102,24
E01005514,E01005514 : Rochdale 019E,1844,900,598,238,91,17
E01005515,E01005515 : Rochdale 019F,1798,796,545,285,133,39
E01005498,E01005498 : Rochdale 020A,1372,674,440,189,50,19
E01005500,E01005500 : Rochdale 020B,1593,750,534,205,88,16
E01005503,E01005503 : Rochdale 020C,1317,686,432,148,38,13
E01005506,E01005506 : Rochdale 020D,1545,653,535,252,75,30
E01005507,E01005507 : Rochdale 020E,2261,1209,726,251,55,20
E01005508,E01005508 : Rochdale 020F,2015,1119,629,200,54,13
E01005524,E01005524 : Rochdale 021A,1470,675,487,217,78,13
E01005525,E01005525 : Rochdale 021B,1889,873,578,269,123,46
E01005526,E01005526 : Rochdale 021C,1908,962,595,237,96,18
E01005528,E01005528 : Rochdale 021D,1550,670,539,238,88,15
E01005536,E01005536 : Rochdale 021E,1713,820,538,250,79,26
E01005543,E01005543 : Rochdale 021F,1252,602,395,163,83,9
E01005527,E01005527 : Rochdale 022A,2059,983,616,278,148,34
