LSOA21CD,2021 super output area - lower layer,unemployment_rate_percent,level4_qualification_percent,detached_housing_percent,terraced_housing_percent,total_rent_ratio_percent,no_car_ratio_percent,no2_concentration_ugm3,so2_concentration_ugm3,pm10_concentration_ugm3,ndvi_passive_green_space
E01004820,E01004820 : Bolton 011A,13.19,17.42,5.02,56.31,66.24,48.71,13.81,2.24,12.71,0.27
E01004825,E01004825 : Bolton 011B,12.78,20.22,4.30,66.06,58.21,38.91,14.30,2.19,12.44,0.30
E01004826,E01004826 : Bolton 011C,12.98,20.65,4.17,68.28,66.83,39.17,13.22,2.09,12.33,0.24
E01004865,E01004865 : Bolton 011D,7.45,23.33,12.18,60.89,49.46,31.66,12.81,2.03,12.13,0.25
E01004866,E01004866 : Bolton 011E,13.60,19.39,5.30,47.81,70.18,40.24,13.88,2.25,12.73,0.40
E01004840,E01004840 : Bolton 012A,3.43,39.77,28.53,24.52,24.97,14.27,11.31,1.93,11.68,0.61
E01004841,E01004841 : Bolton 012B,12.40,15.50,3.35,43.75,72.60,45.43,11.25,1.82,11.57,0.51
E01004842,E01004842 : Bolton 012C,3.85,47.44,20.49,9.02,18.44,14.62,11.83,1.90,11.67,0.43
E01004919,E01004919 : Bolton 012D,3.40,36.02,13.73,32.72,14.51,14.97,11.59,1.85,11.75,0.41
E01004920,E01004920 : Bolton 012E,6.75,33.65,15.79,30.38,31.48,19.55,11.82,1.87,11.67,0.42
E01004787,E01004787 : Bolton 013A,12.23,16.47,5.57,33.95,72.15,47.21,14.47,2.14,12.74,0.51
E01004793,E01004793 : Bolton 013B,10.93,14.91,7.05,27.63,65.56,39.77,15.19,2.19,12.74,0.51
E01004794,E01004794 : Bolton 013C,18.67,20.04,10.54,22.75,65.60,34.26,15.79,2.24,12.82,0.49
E01004795,E01004795 : Bolton 013D,9.55,19.35,10.10,20.49,47.12,36.60,13.82,2.05,12.54,0.47
E01004797,E01004797 : Bolton 013E,7.18,18.91,2.32,22.78,56.87,29.09,14.91,2.17,12.74,0.45
E01004775,E01004775 : Bolton 014A,1.91,39.81,30.89,29.37,17.13,8.85,11.26,2.27,13.09,0.54
E01004885,E01004885 : Bolton 014B,3.71,50.34,71.25,8.47,8.27,4.76,11.82,2.05,12.24,0.63
E01004886,E01004886 : Bolton 014C,6.26,25.69,7.87,19.58,50.48,29.26,13.34,2.08,13.02,0.48
E01004887,E01004887 : Bolton 014D,5.93,26.50,15.65,12.69,42.48,24.42,13.12,2.18,12.68,0.53
E01004868,E01004868 : Bolton 015A,9.22,24.07,3.18,74.72,52.67,32.78,12.36,1.99,11.98,0.21
E01004869,E01004869 : Bolton 015B,17.23,17.86,8.23,66.59,68.48,51.33,12.48,2.01,12.06,0.18
E01004870,E01004870 : Bolton 015C,15.28,24.45,3.83,36.20,58.65,40.69,12.62,2.06,12.15,0.32
E01004871,E01004871 : Bolton 015D,12.98,19.30,6.89,73.62,51.19,31.83,12.54,2.04,11.99,0.25
E01004922,E01004922 : Bolton 015E,6.42,27.85,14.27,49.83,48.70,27.97,12.44,2.03,12.03,0.34
E01004822,E01004822 : Bolton 016B,13.94,20.64,6.07,53.11,59.87,40.66,14.87,2.41,13.13,0.26
E01004823,E01004823 : Bolton 016C,13.57,17.46,5.13,43.64,78.49,51.98,14.12,2.26,12.81,0.34
E01004848,E01004848 : Bolton 016D,17.04,21.32,8.07,23.43,84.64,58.79,14.65,2.43,12.86,0.13
E01033217,E01033217 : Bolton 016E,23.79,28.53,1.23,3.85,89.63,60.96,14.76,2.33,12.82,0.16
E01033220,E01033220 : Bolton 016F,16.64,23.00,1.76,11.26,83.00,58.42,16.07,2.42,13.13,0.39
E01004818,E01004818 : Bolton 017A,12.89,24.74,4.10,49.19,72.45,42.65,15.75,2.44,13.11,0.28
E01004819,E01004819 : Bolton 017B,5.99,28.80,12.04,34.78,30.30,20.17,14.16,2.27,12.68,0.43
E01004928,E01004928 : Bolton 017C,8.26,22.89,2.48,80.47,52.19,36.70,16.41,2.32,12.93,0.26
E01004930,E01004930 : Bolton 017D,3.67,24.48,4.30,27.71,16.83,15.31,15.55,2.22,12.74,0.40
E01004931,E01004931 : Bolton 017E,8.66,19.65,2.82,48.59,50.74,34.36,15.67,2.26,12.92,0.38
E01004932,E01004932 : Bolton 017F,8.77,22.63,3.05,71.75,43.77,31.54,14.92,2.27,12.80,0.31
E01004834,E01004834 : Bolton 018A,10.13,23.53,7.20,64.84,44.08,32.76,12.98,2.07,12.60,0.24
E01004838,E01004838 : Bolton 018B,10.29,20.72,8.74,49.54,55.67,36.50,12.98,2.07,12.60,0.37
E01004843,E01004843 : Bolton 018C,2.93,46.49,36.92,19.26,14.58,12.18,11.91,1.91,11.72,0.52
E01004845,E01004845 : Bolton 018D,4.47,46.40,25.77,18.49,26.43,13.97,12.17,2.02,11.81,0.54
E01004923,E01004923 : Bolton 018E,5.54,33.62,2.68,64.25,36.95,19.56,12.36,1.99,11.98,0.31
E01004796,E01004796 : Bolton 019A,7.20,22.71,6.13,40.96,23.73,22.57,14.08,2.10,12.50,0.43
E01004798,E01004798 : Bolton 019B,8.21,18.58,5.86,34.44,41.38,27.78,13.75,2.04,12.38,0.43
E01004799,E01004799 : Bolton 019C,1.10,24.59,40.31,5.66,9.39,12.82,13.58,2.02,12.32,0.41
E01004800,E01004800 : Bolton 019D,2.72,27.04,15.41,6.95,14.23,9.94,13.41,1.99,12.18,0.41
E01004801,E01004801 : Bolton 019E,12.23,18.58,3.46,54.97,72.44,37.50,14.08,2.10,12.42,0.49
E01004917,E01004917 : Bolton 019F,8.81,25.12,21.71,29.54,33.72,18.98,14.67,2.24,12.72,0.49
E01004835,E01004835 : Bolton 020A,3.89,39.35,79.61,7.51,14.46,10.57,13.51,2.50,12.77,0.48
E01004836,E01004836 : Bolton 020B,6.17,35.71,61.86,15.75,17.08,12.60,13.15,2.25,12.80,0.45
E01004837,E01004837 : Bolton 020C,4.04,50.61,87.29,4.68,5.21,6.38,11.71,1.99,11.70,0.61
E01004844,E01004844 : Bolton 020D,3.80,55.17,86.50,2.93,7.15,5.68,11.44,2.01,12.36,0.61
E01004897,E01004897 : Bolton 020E,2.67,44.17,37.94,18.20,17.32,8.99,12.66,2.33,12.77,0.45
E01004827,E01004827 : Bolton 021A,12.11,15.84,6.55,54.76,62.41,38.60,13.07,2.09,12.60,0.36
E01004849,E01004849 : Bolton 021B,11.38,20.91,6.63,76.51,47.26,33.53,14.31,2.36,12.74,0.16
E01004850,E01004850 : Bolton 021C,18.64,19.24,3.88,50.58,67.48,48.58,13.34,2.18,12.15,0.29
E01004851,E01004851 : Bolton 021D,9.88,19.41,3.99,42.97,68.48,43.61,13.99,2.30,12.69,0.28
E01004853,E01004853 : Bolton 021E,10.85,21.13,8.35,69.25,55.71,37.42,13.34,2.18,12.37,0.31
E01004811,E01004811 : Bolton 022A,7.25,17.30,12.58,57.52,67.38,43.63,14.88,2.59,12.98,0.23
E01004812,E01004812 : Bolton 022B,11.46,21.08,8.80,51.61,57.86,29.91,15.09,2.68,13.04,0.19
E01004813,E01004813 : Bolton 022C,6.45,22.07,5.00,45.58,46.37,29.83,15.05,2.34,13.46,0.40
