LSOA21CD,2021 super output area - lower layer,unemployment_rate_percent,level4_qualification_percent,detached_housing_percent,terraced_housing_percent,total_rent_ratio_percent,high_ses_percent,overcrowded_percent,no_car_ratio_percent,no2_concentration_ugm3,so2_concentration_ugm3,pm10_concentration_ugm3,ndvi_passive_green_space
E01004768,E01004768 : Bolton 001A,2.67,38.82,66.29,5.05,6.37,45.22 ,1.94 ,5.71,10.52,1.7,11.29,0.52
E01004803,E01004803 : Bolton 001B,2.58,43.54,41.42,28.03,17.18,49.70 ,1.96 ,7.55,8.99,1.48,10.61,0.49
E01004804,E01004804 : Bolton 001C,5.2,45.78,62.07,10.02,7.38,46.63 ,2.13 ,8.21,9.86,1.59,11.07,0.51
E01004807,E01004807 : Bolton 001D,5.15,40.34,32.47,26.42,16.06,44.66 ,2.60 ,7.43,11.53,1.79,11.72,0.39
E01004808,E01004808 : Bolton 001E,3.88,43.25,43.48,15.51,10.68,48.48 ,1.02 ,6.52,10.33,1.66,11.27,0.49
E01004788,E01004788 : Bolton 002A,4.43,39.1,39.02,8.69,7.57,45.55 ,1.15 ,11.35,11.95,1.78,11.75,0.47
E01004790,E01004790 : Bolton 002B,4.98,37.17,20.78,46.82,26.4,38.34 ,2.48 ,16.56,13.12,1.95,12.47,0.43
E01004805,E01004805 : Bolton 002C,3.31,41.24,59.38,15.92,10.58,48.00 ,2.23 ,9.54,11.51,1.75,11.42,0.53
E01004806,E01004806 : Bolton 002D,3.56,37.65,34.64,15.28,12.73,43.17 ,3.34 ,14.22,12.12,1.84,12.21,0.46
E01004810,E01004810 : Bolton 002E,2.97,39.5,44.5,19.34,12.11,44.74 ,2.20 ,8.82,13.08,1.96,12.43,0.43
E01004769,E01004769 : Bolton 003A,3.61,36.64,23.72,27.38,12.41,40.31 ,4.39 ,10.75,12.44,1.91,12.19,0.43
E01004770,E01004770 : Bolton 003B,4.37,29.26,23.08,15.38,11.29,28.45 ,5.88 ,11.46,13.29,2.01,12.35,0.39
E01004771,E01004771 : Bolton 003C,3.41,39.4,25.92,2.56,9.74,42.95 ,2.88 ,9.15,12.44,1.91,12,0.44
E01004773,E01004773 : Bolton 003D,3.75,30.41,4.32,35.01,28.67,32.27 ,5.23 ,19.32,13.01,1.98,12.22,0.31
E01004809,E01004809 : Bolton 003E,3.13,29.06,5.06,46.95,39.47,33.06 ,5.29 ,23.1,12.44,1.91,12.27,0.46
E01004777,E01004777 : Bolton 004A,4.06,28.82,12.77,59.29,46.21,28.64 ,5.06 ,25.32,12.08,2.17,12.4,0.31
E01004881,E01004881 : Bolton 004B,5.1,20.33,2.3,59.97,52.75,23.17 ,4.61 ,39.95,12.58,2.15,12.22,0.24
E01004888,E01004888 : Bolton 004C,5.96,32.58,30.02,15.01,33.74,34.63 ,3.66 ,22.24,11.86,2.03,12.27,0.52
E01004889,E01004889 : Bolton 004D,5.69,24.58,9.15,27.13,38.52,25.21 ,4.25 ,22.75,12.01,2.11,12.29,0.47
E01004890,E01004890 : Bolton 004E,7.05,31.27,2.49,51.54,30.79,32.88 ,1.76 ,23.87,11.78,2.17,12.37,0.27
E01004766,E01004766 : Bolton 005A,7.46,26.03,6.57,48.82,44.6,24.91 ,5.71 ,34.53,12.64,1.95,11.95,0.33
E01004767,E01004767 : Bolton 005B,4.47,27.51,8.08,27.63,43.96,28.37 ,4.78 ,26.95,14.14,2.11,12.35,0.36
E01004772,E01004772 : Bolton 005C,6.61,24.15,25.67,20.59,58.56,26.41 ,5.10 ,30.35,11.57,1.83,11.95,0.52
E01004774,E01004774 : Bolton 005D,5.59,24.63,12.2,57.99,40.19,24.64 ,6.37 ,29.59,12.21,1.9,11.95,0.35
E01004824,E01004824 : Bolton 005E,8.51,21.45,6.85,78.63,33.4,15.16 ,21.82 ,21.82,15.29,2.27,12.67,0.2
E01004784,E01004784 : Bolton 006A,4.42,34.72,50.3,2.17,6.32,40.42 ,1.58 ,9.72,13.35,1.98,12.43,0.43
E01004785,E01004785 : Bolton 006B,5.04,25.53,23.11,22.19,24,29.34 ,4.62 ,17.26,13.45,2,12.47,0.5
E01004786,E01004786 : Bolton 006C,3.28,31.82,31.78,17.35,19.04,36.68 ,0.73 ,16.47,14.33,2.08,12.5,0.43
E01004789,E01004789 : Bolton 006D,1.93,39.28,27.91,13.14,9.21,43.80 ,1.48 ,7.73,11.16,1.7,11.2,0.57
E01004791,E01004791 : Bolton 006E,2.95,35.85,20.15,29.62,18.17,38.73 ,2.29 ,17.74,12.08,1.81,12.11,0.42
E01004792,E01004792 : Bolton 006F,3.65,36.45,47.97,4.69,6.56,44.33 ,1.41 ,10.16,13.14,2,12.14,0.48
E01004779,E01004779 : Bolton 007A,3.74,28.39,33.76,23.31,31.03,31.06 ,3.86 ,12.86,10.64,2.16,12,0.46
E01004781,E01004781 : Bolton 007B,2.93,36.78,28.23,40.61,29.49,37.70 ,2.62 ,16.04,11.77,2.12,12.6,0.29
E01004882,E01004882 : Bolton 007C,4.39,32.11,15.73,52.01,28.75,34.67 ,4.64 ,21.6,12.33,2.2,12.73,0.32
E01004883,E01004883 : Bolton 007D,4.63,33.91,17.38,44.33,31.02,38.25 ,3.53 ,18.74,12.3,2.07,12.6,0.35
E01004884,E01004884 : Bolton 007E,3.49,45.13,52.59,19.54,11.64,51.83 ,0.72 ,8.62,10.31,1.87,11.89,0.57
E01004864,E01004864 : Bolton 008A,6.92,25.14,8.8,58.06,30.94,27.35 ,3.37 ,22.91,12.14,2,12.22,0.36
