LSOA21CD,2021 super output area - lower layer,unemployment_rate_percent,level4_qualification_percent,detached_housing_percent,terraced_housing_percent,total_rent_ratio_percent,high_ses_percent,overcrowded_percent,no_car_ratio_percent,no2_concentration_ugm3,so2_concentration_ugm3,pm10_concentration_ugm3,ndvi_passive_green_space
E01004867,E01004867 : Bolton 008B,12.13,20.65,4.41,80.85,38.64,17.66 ,15.51 ,29.39,13.15,2.2,12.49,0.24
E01004921,E01004921 : Bolton 008C,5.32,27.97,3.22,45.31,22.24,25.40 ,6.01 ,22.63,12.61,2.04,12.15,0.31
E01004924,E01004924 : Bolton 008D,3.44,45.28,30.18,9.47,7.73,48.78 ,0.96 ,7.37,10.31,1.79,11.63,0.59
E01004925,E01004925 : Bolton 008E,3.84,30.21,3.93,31.6,18.37,31.71 ,3.31 ,18.05,11.87,1.91,12.04,0.32
E01004778,E01004778 : Bolton 009A,4.69,27.72,7.58,16.82,17.74,33.56 ,1.66 ,14.79,9.39,1.93,11.78,0.38
E01004780,E01004780 : Bolton 009B,2.77,35.53,37.22,28.22,22.39,40.87 ,2.55 ,10.33,9.86,2.08,11.86,0.48
E01004782,E01004782 : Bolton 009C,4.28,27.14,23.59,28.21,35.68,31.73 ,4.97 ,19.18,9.47,1.97,11.83,0.39
E01004783,E01004783 : Bolton 009D,5.03,31.76,22.8,19.76,15.78,35.67 ,3.04 ,13.85,9.6,2.08,12.23,0.45
E01004802,E01004802 : Bolton 010A,9.47,20.69,3.3,26.52,73.48,15.17 ,8.72 ,39.05,15.01,2.18,12.86,0.49
E01004926,E01004926 : Bolton 010B,10.68,15.92,1.72,22.99,64.49,14.77 ,15.08 ,34.93,17.14,2.38,12.93,0.43
E01004927,E01004927 : Bolton 010C,8.12,24.31,5.79,48.81,68.41,20.22 ,7.34 ,42.38,15.72,2.28,12.77,0.4
E01004929,E01004929 : Bolton 010D,4.77,29.62,17.98,28.53,45.5,28.85 ,5.18 ,28.61,16.08,2.28,12.9,0.41
E01004820,E01004820 : Bolton 011A,13.19,17.42,5.02,56.31,66.24,10.44 ,18.71 ,48.71,13.81,2.24,12.71,0.27
E01004825,E01004825 : Bolton 011B,12.78,20.22,4.3,66.06,58.21,10.57 ,23.80 ,38.91,14.3,2.19,12.44,0.3
E01004826,E01004826 : Bolton 011C,12.98,20.65,4.17,68.28,66.83,13.14 ,21.74 ,39.17,13.22,2.09,12.33,0.24
E01004865,E01004865 : Bolton 011D,7.45,23.33,12.18,60.89,49.46,23.37 ,9.13 ,31.66,12.81,2.03,12.13,0.25
E01004866,E01004866 : Bolton 011E,13.6,19.39,5.3,47.81,70.18,10.56 ,16.25 ,40.24,13.88,2.25,12.73,0.4
E01004840,E01004840 : Bolton 012A,3.43,39.77,28.53,24.52,24.97,40.83 ,4.43 ,14.27,11.31,1.93,11.68,0.61
E01004841,E01004841 : Bolton 012B,12.4,15.5,3.35,43.75,72.6,12.46 ,13.55 ,45.43,11.25,1.82,11.57,0.51
E01004842,E01004842 : Bolton 012C,3.85,47.44,20.49,9.02,18.44,49.06 ,1.50 ,14.62,11.83,1.9,11.67,0.43
