2021 super output area - lower layer,Total: All usual residents,Very good health,Good health,Fair health,Bad health,Very bad health
E01004813 : Bolton 022C,"1,748",815,597,213,97,26
E01004815 : Bolton 022D,"1,786",868,605,218,74,21
E01004817 : Bolton 022E,"2,063",952,685,312,85,29
E01004828 : Bolton 023A,"2,017","1,118",561,216,90,32
E01004829 : Bolton 023B,"1,458",665,523,190,63,17
E01004832 : Bolton 023C,"1,640",811,563,195,60,11
E01004854 : Bolton 023D,"1,658",814,527,221,77,19
E01004878 : Bolton 023E,"1,697",868,555,188,70,16
E01004911 : Bolton 024A,"1,539",611,556,260,92,20
E01004912 : Bolton 024B,"1,435",579,523,226,85,22
E01004913 : Bolton 024C,"1,955",899,707,252,85,12
E01004914 : Bolton 024D,"1,170",493,420,194,49,14
E01004915 : Bolton 024E,"1,274",534,487,189,51,13
E01004916 : Bolton 024F,"1,464",597,500,238,98,31
E01004918 : Bolton 024G,"1,225",556,424,180,47,18
E01004846 : Bolton 025A,"1,410",700,446,175,71,18
E01004847 : Bolton 025B,"2,282","1,201",657,248,142,34
E01004852 : Bolton 025C,"1,732",927,548,174,60,23
E01004877 : Bolton 025D,"2,073","1,043",610,257,125,38
E01004879 : Bolton 025E,"1,657",823,535,190,84,25
E01004830 : Bolton 026A,"1,754",820,516,260,119,39
E01004831 : Bolton 026B,"1,826",975,564,209,60,18
E01004833 : Bolton 026C,"1,529",707,525,213,64,20
E01004839 : Bolton 026D,"2,370","1,072",763,360,133,42
E01004814 : Bolton 027A,"1,604",808,497,211,64,24
E01004855 : Bolton 027B,"1,481",714,498,177,72,20
E01004856 : Bolton 027C,"1,537",721,481,207,106,22
E01004857 : Bolton 027D,"1,902",941,626,223,85,27
E01004891 : Bolton 028A,"1,539",681,534,233,72,19
E01004893 : Bolton 028B,"1,526",760,530,172,43,21
E01004894 : Bolton 028C,"1,924",932,657,234,80,21
E01004901 : Bolton 028E,"1,764",945,568,176,57,18
E01033218 : Bolton 028F,"1,573",928,463,126,40,16
E01033219 : Bolton 028G,"1,421",782,452,141,35,11
E01004816 : Bolton 029A,"2,939","1,467","1,073",275,89,35
E01004872 : Bolton 029B,"1,697",794,556,225,97,25
E01004873 : Bolton 029C,"2,021","1,040",618,249,92,22
