LSOA21CD,2021 super output area - lower layer,ah4dent,ah4gp,ah4hosp,ah4phar
E01004965,E01004965 : Bury 005B,1.115,1.3318,1.3318,1.6647
E01004966,E01004966 : Bury 005C,1.1792,1.3365,1.3365,1.3234
E01004967,E01004967 : Bury 005D,1.7048,0.9257,0.9257,1.6337
E01004963,E01004963 : Bury 006A,2.7764,3.2974,3.2974,1.1321
E01004968,E01004968 : Bury 006B,1.7401,1.0983,1.0983,1.581
E01005050,E01005050 : Bury 006C,2.2712,2.3346,2.3346,2.0878
E01005052,E01005052 : Bury 006D,1.8347,1.8541,1.8541,1.8541
E01005053,E01005053 : Bury 006E,4.1521,4.1714,4.1714,3.8689
E01004954,E01004954 : Bury 007A,3.1864,1.4232,1.4232,3.211
E01004955,E01004955 : Bury 007B,1.9948,0.7836,0.7836,2.0194
E01004956,E01004956 : Bury 007C,1.1635,1.1283,1.4072,1.1096
E01004957,E01004957 : Bury 007D,1.6702,1.6883,1.6129,1.8416
E01004960,E01004960 : Bury 007E,1.7192,0.9876,1.8972,1.019
E01004958,E01004958 : Bury 008A,0.8196,1.0888,0.9771,0.8981
E01004959,E01004959 : Bury 008B,1.0019,1.5442,0.8156,0.8322
E01004979,E01004979 : Bury 008C,1.0879,0.8592,0.7638,0.7887
E01004980,E01004980 : Bury 008D,0.6378,0.6013,0.6654,0.5395
E01005024,E01005024 : Bury 008E,1.0143,0.918,0.7018,0.7889
E01005026,E01005026 : Bury 008F,1.7333,1.6953,1.0859,0.8496
E01004947,E01004947 : Bury 009A,0.6876,1.5143,1.5143,1.5945
E01004948,E01004948 : Bury 009B,1.2056,1.1186,1.1186,1.1186
E01004962,E01004962 : Bury 009C,2.1249,2.3682,2.3682,0.8527
E01004964,E01004964 : Bury 009D,1.4957,1.4479,1.3502,1.3502
E01004949,E01004949 : Bury 010A,1.5169,1.5169,1.5169,1.5169
E01004950,E01004950 : Bury 010B,3.0517,3.0517,3.0517,3.0517
E01004951,E01004951 : Bury 010C,1.4226,1.52,1.52,1.5364
E01004952,E01004952 : Bury 010D,0.874,0.874,0.874,0.874
E01004953,E01004953 : Bury 010E,1.1153,1.9177,1.9177,2.0087
E01005025,E01005025 : Bury 011A,1.8205,2.0487,1.1222,1.2318
E01005027,E01005027 : Bury 011B,0.7569,0.5862,0.4741,0.5883
E01005028,E01005028 : Bury 011C,2.3236,2.1312,0.7253,1.1222
E01005029,E01005029 : Bury 011D,1.9616,1.7373,0.7283,0.6986
E01005000,E01005000 : Bury 012A,2.7901,3.6759,2.6683,3.1981
E01005001,E01005001 : Bury 012B,3.1453,3.918,2.7969,3.6754
E01005005,E01005005 : Bury 012C,3.3846,3.4049,3.3931,3.3451
E01005006,E01005006 : Bury 012D,2.2846,2.5651,2.5651,2.4702
E01005030,E01005030 : Bury 013A,1.9636,3.1916,1.0731,2.139
E01005054,E01005054 : Bury 013B,4.828,2.1006,2.9551,2.7423
E01005059,E01005059 : Bury 013C,1.6318,2.776,1.1451,1.7277
E01005060,E01005060 : Bury 013D,1.5017,2.6811,1.4173,2.4827
E01004997,E01004997 : Bury 014A,0.4375,2.2388,1.289,0.5553
E01004998,E01004998 : Bury 014B,1.1676,3.3738,1.9678,1.6725
E01004999,E01004999 : Bury 014C,0.7373,3.4435,2.5314,1.6354
E01005002,E01005002 : Bury 014D,1.9035,3.8625,1.3051,2.2673
E01005003,E01005003 : Bury 014E,0.8728,2.904,1.3739,0.7041
E01004991,E01004991 : Bury 015A,2.5298,1.8393,1.7902,1.6516
E01004992,E01004992 : Bury 015B,2.3366,0.9171,1.0663,0.7736
E01004993,E01004993 : Bury 015C,2.4677,1.5703,1.2207,1.8862
E01004994,E01004994 : Bury 015D,1.4826,0.5055,1.3859,0.8259
E01004990,E01004990 : Bury 016A,0.7918,2.7876,1.2152,1.7243
E01004996,E01004996 : Bury 016B,0.8057,2.3218,0.912,0.743
E01005004,E01005004 : Bury 016C,1.5289,3.0522,0.8497,2.0448
E01005008,E01005008 : Bury 016D,0.6485,1.5006,0.7249,0.9462
E01005009,E01005009 : Bury 016E,0.3438,0.6733,0.6733,0.4594
E01004945,E01004945 : Bury 017A,2.5645,2.1697,1.9973,1.6242
E01005055,E01005055 : Bury 017B,1.9985,0.6707,0.6707,1.9844
E01005056,E01005056 : Bury 017C,1.45,0.8334,1.2,1.45
E01005057,E01005057 : Bury 017D,3.2488,3.2488,4.6405,3.2488
E01005058,E01005058 : Bury 017E,2.239,1.1421,1.1421,2.003
E01004995,E01004995 : Bury 018A,1.4064,3.0861,1.8587,2.3469
E01005010,E01005010 : Bury 018B,3.3761,3.8402,3.8402,3.6393
E01005012,E01005012 : Bury 018C,2.1056,2.4012,2.4012,2.3389
E01005013,E01005013 : Bury 018D,1.566,1.8955,1.8955,1.6815
E01004984,E01004984 : Bury 019A,2.4059,2.3765,2.3494,2.2966
E01004985,E01004985 : Bury 019B,3.1447,3.0966,3.0831,3.2372
E01004989,E01004989 : Bury 019C,1.3058,1.19,1.1492,1.0725
E01005007,E01005007 : Bury 019D,1.5168,1.6161,0.7933,1.8384
E01005011,E01005011 : Bury 019E,1.451,1.7236,1.2682,1.8183
E01004983,E01004983 : Bury 020A,1.0564,1.7334,0.7709,1.2108
E01004986,E01004986 : Bury 020B,0.7988,1.5699,0.7633,0.8491
E01004987,E01004987 : Bury 020C,1.6988,1.2866,1.018,1.3872
E01004988,E01004988 : Bury 020D,1.2244,1.3033,1.3245,1.3316
E01004941,E01004941 : Bury 021A,2.9125,2.6463,1.7351,1.2762
E01004942,E01004942 : Bury 021B,1.3908,2.3539,1.156,1.2034
E01004943,E01004943 : Bury 021C,1.5377,2.3461,1.2428,1.7976
E01004944,E01004944 : Bury 021D,2.4215,2.7851,1.5731,1.4154
E01004946,E01004946 : Bury 021E,2.6264,1.87,1.5311,1.0722
E01004969,E01004969 : Bury 022A,4.0019,3.6895,4.9284,3.6155
E01004970,E01004970 : Bury 022B,1.9061,1.6797,2.8418,1.6797
E01004971,E01004971 : Bury 022C,1.0032,1.3181,1.7441,1.3181
E01005034,E01005034 : Bury 022D,1.8779,0.713,0.8217,0.9338
E01004972,E01004972 : Bury 023A,1.1546,0.5899,1.8388,0.661
E01004973,E01004973 : Bury 023B,0.9448,1.137,2.0438,1.1609
E01004975,E01004975 : Bury 023C,1.4262,1.4757,2.1095,1.4757
E01005039,E01005039 : Bury 023D,1.4485,0.6609,1.9367,0.9312
E01005045,E01005045 : Bury 023E,2.0263,1.4572,2.2171,1.7026
E01004974,E01004974 : Bury 024A,1.2988,0.9847,1.3422,1.1819
E01005033,E01005033 : Bury 024B,1.8375,1.9433,1.2389,1.0412
E01005036,E01005036 : Bury 024C,2.0927,1.0404,1.0919,1.2994
E01005037,E01005037 : Bury 024D,1.3264,2.6888,2.0114,2.6661
E01005031,E01005031 : Bury 025A,1.218,3.4226,1.5812,3.1068
E01005032,E01005032 : Bury 025B,2.1439,3.8367,1.8895,3.1279
E01005035,E01005035 : Bury 025C,2.3365,1.1753,0.9337,1.3744
E01005038,E01005038 : Bury 025D,1.3366,2.9488,1.1615,2.2601
E01005040,E01005040 : Bury 026A,1.606,2.5855,2.5855,1.3439
E01005041,E01005041 : Bury 026B,1.2224,1.675,1.675,1.2272
E01005042,E01005042 : Bury 026C,1.216,0.9725,1.2091,0.9418
E01005043,E01005043 : Bury 026D,0.7899,0.9998,0.9998,0.7824
E01005044,E01005044 : Bury 026E,1.5725,1.027,0.9086,0.8179
E01005659,E01005659 : Salford 001A,1.9028,2.1716,2.1716,2.2707
E01005660,E01005660 : Salford 001B,1.0958,0.9195,1.503,0.8118
E01005663,E01005663 : Salford 001C,1.8196,1.2868,1.1238,1.9683
E01005664,E01005664 : Salford 001D,2.3058,2.3883,2.5187,2.368
E01005665,E01005665 : Salford 001E,1.5956,1.2341,2.0533,1.1709
E01005703,E01005703 : Salford 002A,1.7267,1.5114,1.8987,1.2763
E01005704,E01005704 : Salford 002B,0.881,0.9692,1.21,0.7724
E01005706,E01005706 : Salford 002C,1.3874,1.35,1.2199,1.5758
E01005708,E01005708 : Salford 002D,1.0014,0.9279,1.1858,1.0707
E01005702,E01005702 : Salford 003A,2.1963,2.0137,2.348,1.6372
E01005707,E01005707 : Salford 003C,1.5139,1.4398,1.5603,1.6023
E01033976,E01033976 : Salford 003D,2.5154,2.466,2.6061,2.4744
E01033977,E01033977 : Salford 003E,0.8065,0.8065,0.9298,0.8609
E01005661,E01005661 : Salford 004A,1.9493,1.7885,1.7885,1.8936
E01005662,E01005662 : Salford 004B,2.0836,2.1216,2.1216,2.2207
E01005709,E01005709 : Salford 004C,2.5447,2.3604,2.2423,2.7821
E01005710,E01005710 : Salford 004D,3.1191,2.9477,2.6258,3.2156
E01005670,E01005670 : Salford 005A,1.1297,1.4075,1.4075,0.971
E01005672,E01005672 : Salford 005B,0.9381,0.9646,0.9646,0.6347
E01005676,E01005676 : Salford 005C,3.4308,3.5239,3.5239,2.8367
E01005677,E01005677 : Salford 005D,2.0845,2.1776,2.1776,1.4904
E01005686,E01005686 : Salford 006A,1.5311,1.2794,1.2707,1.3215
E01005688,E01005688 : Salford 006B,1.7971,1.7588,1.7584,1.4032
E01005691,E01005691 : Salford 006C,3.4436,2.7068,2.7083,3.1317
E01005692,E01005692 : Salford 006D,1.1881,1.2813,1.2813,0.7647
E01005711,E01005711 : Salford 007A,2.1658,2.1164,2.2915,2.1249
E01005712,E01005712 : Salford 007B,0.8725,0.8232,1.1188,0.8316
E01005713,E01005713 : Salford 007C,2.1586,1.3906,2.5595,1.3906
E01005714,E01005714 : Salford 007D,2.5211,2.5303,2.9365,2.5303
E01005715,E01005715 : Salford 007E,2.0926,2.1104,2.508,2.1104
E01005718,E01005718 : Salford 007F,1.0021,0.9923,1.137,1.09
E01005673,E01005673 : Salford 008A,2.2179,2.5409,1.8982,2.6194
E01005678,E01005678 : Salford 008C,2.6087,2.7019,2.7019,2.0147
E01005679,E01005679 : Salford 008D,3.5552,3.6484,3.6484,2.9611
E01033978,E01033978 : Salford 008E,3.9813,3.9813,2.8772,4.289
E01033979,E01033979 : Salford 008F,3.6345,4.0057,3.1762,4.4623
E01005687,E01005687 : Salford 009A,2.3412,1.1806,2.3412,1.4565
E01005689,E01005689 : Salford 009B,1.9141,1.3517,1.3135,1.7755
E01005690,E01005690 : Salford 009C,0.8616,1.0172,0.8521,1.0174
E01005693,E01005693 : Salford 009D,2.9524,2.2253,2.2212,2.7178
E01005646,E01005646 : Salford 010A,0.7611,1.7125,1.9924,1.6999
E01005649,E01005649 : Salford 010B,1.178,1.9993,2.1012,1.9392
E01005650,E01005650 : Salford 010C,1.6226,1.4736,1.4736,1.4736
E01005651,E01005651 : Salford 010D,1.0088,1.573,1.6041,1.562
E01005647,E01005647 : Salford 011A,1.0613,2.2131,2.0131,1.5849
E01005648,E01005648 : Salford 011B,2.0668,2.7936,2.722,3.5844
E01005652,E01005652 : Salford 011C,2.7508,3.472,3.0296,5.1614
E01005653,E01005653 : Salford 011D,1.1446,1.6413,1.6413,4.5521
E01005671,E01005671 : Salford 012A,1.0592,1.3155,1.3155,1.1503
E01005674,E01005674 : Salford 012B,1.6101,1.6101,1.2143,1.6101
E01005694,E01005694 : Salford 012C,1.6627,1.7409,1.5948,1.7409
E01005696,E01005696 : Salford 012D,1.3703,1.677,1.7451,1.677
E01005698,E01005698 : Salford 012E,0.8909,0.8909,0.7295,0.8909
E01005700,E01005700 : Salford 012F,0.9452,1.1426,0.8434,1.0824
E01005716,E01005716 : Salford 013A,2.6532,0.8534,2.3808,0.8534
E01005717,E01005717 : Salford 013B,2.7217,1.553,2.9073,1.553
E01005734,E01005734 : Salford 013C,1.4801,1.1659,0.9831,1.0523
E01005735,E01005735 : Salford 013D,1.7938,1.4795,1.2968,0.9809
E01005736,E01005736 : Salford 013E,1.1306,0.8849,1.1615,1.7867
E01005737,E01005737 : Salford 013F,2.516,2.774,3.0641,2.4579
E01005739,E01005739 : Salford 013G,2.0328,1.8057,1.9679,2.4122
E01005695,E01005695 : Salford 014A,1.0668,1.8316,1.8607,1.8304
E01005697,E01005697 : Salford 014B,1.4815,0.997,1.5293,0.997
E01005738,E01005738 : Salford 014C,1.1226,3.9942,4.3311,2.5515
E01005740,E01005740 : Salford 014D,3.3586,2.9394,3.6766,2.9394
E01005741,E01005741 : Salford 014E,1.5025,2.6058,2.6335,2.6058
E01005742,E01005742 : Salford 014F,1.3232,1.303,1.4318,1.303
E01005625,E01005625 : Salford 015A,2.1616,1.9915,1.5925,1.6724
E01005627,E01005627 : Salford 015B,1.8572,0.7618,1.0775,0.8742
E01005699,E01005699 : Salford 015C,2.3171,2.4195,1.5178,2.5726
E01005701,E01005701 : Salford 015D,2.0292,2.0153,1.1217,2.0574
E01005624,E01005624 : Salford 017A,1.391,1.3472,2.061,1.3831
E01005680,E01005680 : Salford 017B,1.4295,1.2739,1.0014,0.9822
E01005683,E01005683 : Salford 017C,2.9407,3.1013,1.1525,1.9423
E01033980,E01033980 : Salford 017G,1.8302,2.1349,1.413,2.0237
E01033981,E01033981 : Salford 017H,1.489,2.8014,1.5797,2.2719
E01005622,E01005622 : Salford 018A,0.8579,0.8579,1.1602,0.5671
E01005623,E01005623 : Salford 018B,1.1743,1.453,1.7526,1.0244
E01005626,E01005626 : Salford 018C,1.8622,1.6462,1.3624,1.3844
E01005628,E01005628 : Salford 018D,1.2024,1.4939,1.6478,1.1388
E01005725,E01005725 : Salford 019A,1.0292,1.9527,3.5323,1.1658
E01005726,E01005726 : Salford 019B,0.9792,2.293,2.6089,0.6444
E01005727,E01005727 : Salford 019C,1.0637,1.3968,3.3289,1.1773
E01005728,E01005728 : Salford 019D,2.1841,2.1146,1.7268,1.6658
E01005733,E01005733 : Salford 019E,1.5011,2.9695,3.6273,1.2598
E01005631,E01005631 : Salford 020A,1.1846,0.9235,0.9009,1.1453
E01005632,E01005632 : Salford 020B,1.0967,1.2056,1.6463,0.9852
E01005633,E01005633 : Salford 020C,1.6587,1.1648,1.9851,1.6706
E01005634,E01005634 : Salford 020D,0.8287,1.1179,2.9008,1.1066
E01005635,E01005635 : Salford 020E,1.5359,1.4997,1.5613,1.2654
E01005636,E01005636 : Salford 020F,2.2616,1.9769,2.0883,1.8832
E01005637,E01005637 : Salford 020G,1.0215,0.7569,2.6021,0.7517
E01005629,E01005629 : Salford 021A,1.0238,1.3739,1.4777,1.1785
E01005630,E01005630 : Salford 021B,1.3536,1.0525,1.0525,1.2332
E01005719,E01005719 : Salford 021C,1.5101,1.2366,1.5105,1.5609
E01005722,E01005722 : Salford 021E,1.8046,1.1083,1.1083,1.0783
E01005723,E01005723 : Salford 021F,1.5046,0.96,1.4965,1.3804
E01005724,E01005724 : Salford 021G,1.3491,0.7374,1.1588,0.9437
E01033982,E01033982 : Salford 021H,1.5833,0.647,0.645,0.7854
E01033983,E01033983 : Salford 021I,2.037,1.1257,1.4126,1.3202
E01005654,E01005654 : Salford 023A,0.6412,0.6412,0.8544,0.5492
E01005656,E01005656 : Salford 023B,0.6752,0.6752,0.6752,0.884
E01005657,E01005657 : Salford 023C,0.7715,0.7263,1.0489,0.7135
E01005721,E01005721 : Salford 023D,1.2491,1.0627,1.0157,1.0282
E01005681,E01005681 : Salford 024C,1.7389,1.591,0.8409,1.6403
E01005682,E01005682 : Salford 024D,1.5349,0.9113,0.748,1.3733
E01033984,E01033984 : Salford 024E,1.9916,1.5525,1.5486,1.4258
E01005729,E01005729 : Salford 025A,2.3149,1.1347,1.2423,1.1347
E01005730,E01005730 : Salford 025B,2.7983,1.5671,2.3433,1.1185
E01005731,E01005731 : Salford 025C,3.2065,2.9013,3.6291,1.8928
E01005732,E01005732 : Salford 025D,3.0789,2.8195,3.3934,1.9943
E01005599,E01005599 : Salford 026A,0.6332,0.0899,0.0899,0.6332
E01005600,E01005600 : Salford 026B,1.4175,1.756,1.2389,1.4338
E01005601,E01005601 : Salford 026C,1.6158,1.6852,1.5701,1.5869
E01005602,E01005602 : Salford 026D,2.1006,1.8193,1.8049,1.6949
E01005603,E01005603 : Salford 027A,1.8765,0.7681,1.6176,0.7662
E01005604,E01005604 : Salford 027B,2.7752,1.4297,2.2652,1.3815
E01005605,E01005605 : Salford 027C,2.6271,1.3194,2.4115,0.7297
E01005638,E01005638 : Salford 027D,1.0996,1.4057,1.3134,0.9514
E01005639,E01005639 : Salford 029A,2.5786,2.0943,1.5046,2.16
E01005640,E01005640 : Salford 029B,2.7229,2.1188,1.922,1.1175
E01005641,E01005641 : Salford 029C,2.1319,1.5277,1.2894,1.1389
E01005642,E01005642 : Salford 029D,1.8969,1.2928,1.2972,0.9087
E01005643,E01005643 : Salford 029E,1.5092,1.2006,1.2561,1.7722
E01005644,E01005644 : Salford 029F,1.3617,1.575,1.6837,2.0812
E01005645,E01005645 : Salford 029G,0.757,1.0603,1.8273,1.8867
E01005616,E01005616 : Salford 030A,4.8345,4.8345,3.7607,1.8498
E01005617,E01005617 : Salford 030B,3.038,3.038,3.9069,2.5762
E01005618,E01005618 : Salford 030C,3.6206,3.6206,3.6416,1.3788
E01005619,E01005619 : Salford 030D,5.2228,5.2228,2.891,2.0853
E01005620,E01005620 : Salford 030E,1.0285,1.3269,1.2815,0.9482
E01005621,E01005621 : Salford 030F,1.1666,0.9838,1.4198,1.1966
E01005613,E01005613 : Salford 031A,1.2455,1.6005,1.2517,0.9135
E01005612,E01005612 : Salford 031B,1.293,1.6784,1.167,1.0873
E01005614,E01005614 : Salford 031C,1.5129,1.1673,0.9975,0.8679
E01033985,E01033985 : Salford 032A,1.029,1.4095,1.679,0.9041
E01033986,E01033986 : Salford 032B,1.1259,1.3297,2.41,1.0232
E01005611,E01005611 : Salford 032C,1.1125,2.045,2.0295,1.5066
E01005615,E01005615 : Salford 032D,1.5545,1.4589,1.4589,1.4475
E01033987,E01033987 : Salford 033A,1.3205,1.2489,1.4514,0.9975
E01033988,E01033988 : Salford 033B,1.0821,0.8743,1.3718,0.9098
E01033989,E01033989 : Salford 033C,0.8044,0.8254,1.5114,0.6362
E01033990,E01033990 : Salford 033D,1.049,0.5149,1.3812,0.8767
E01033330,E01033330 : Salford 033E,1.3595,1.2349,1.8866,0.9623
E01032909,E01032909 : Salford 033F,1.1003,0.7247,1.5058,1.3052
E01033991,E01033991 : Salford 034A,1.7811,1.1416,1.1416,1.3736
E01033992,E01033992 : Salford 034B,1.2524,1.5084,1.7022,1.2253
E01005610,E01005610 : Salford 034C,2.401,2.0274,3.1105,2.1176
E01032684,E01032684 : Salford 034D,1.4741,1.4307,2.144,1.0344
E01032906,E01032906 : Salford 034E,0.6919,0.886,1.3423,0.6366
E01032914,E01032914 : Salford 035A,1.6144,1.6447,1.6447,1.6346
E01032912,E01032912 : Salford 035B,1.4317,1.3383,1.2886,1.4124
E01005667,E01005667 : Salford 035C,1.288,1.1213,1.1063,1.288
E01033993,E01033993 : Salford 036A,1.6085,1.6085,1.5033,1.1946
E01033994,E01033994 : Salford 036B,2.139,2.1925,1.9096,1.7247
E01032915,E01032915 : Salford 036C,1.9105,1.9152,1.3721,1.7026
E01033995,E01033995 : Salford 037A,1.5101,2.9168,2.9168,2.7927
E01033996,E01033996 : Salford 037B,1.7677,2.7184,2.7184,2.7184
E01033997,E01033997 : Salford 037C,1.3581,1.3581,1.3242,1.3581
E01033998,E01033998 : Salford 037D,1.6401,1.6914,1.6416,1.6914
E01033999,E01033999 : Salford 037E,1.2023,1.2023,1.0048,1.2023
E01005098,E01005098 : Manchester 001A,1.4249,1.4692,2.9986,1.7132
E01005099,E01005099 : Manchester 001B,1.1885,0.795,2.6995,1.0404
E01005100,E01005100 : Manchester 001C,1.0303,1.0229,2.2983,1.187
E01005102,E01005102 : Manchester 001D,1.0075,1.8347,2.5811,1.5885
E01005103,E01005103 : Manchester 001E,0.7824,1.8056,1.3444,1.9062
E01005101,E01005101 : Manchester 002A,1.1454,1.0104,1.7341,1.0782
E01005135,E01005135 : Manchester 002B,1.5754,1.1584,2.8367,0.8339
E01005136,E01005136 : Manchester 002C,1.72,0.902,2.1375,1.1581
E01005138,E01005138 : Manchester 002D,2.1281,1.2522,2.5859,1.5554
E01034107,E01034107 : Manchester 002F,1.4454,0.9117,1.2307,0.9117
E01034108,E01034108 : Manchester 002G,2.207,0.8836,1.4334,0.8836
E01005139,E01005139 : Manchester 003B,1.8865,1.8429,2.6674,1.2404
E01005141,E01005141 : Manchester 003C,1.2433,1.2433,1.2433,1.1149
E01005251,E01005251 : Manchester 003D,1.3714,1.8535,2.0744,1.0098
E01005252,E01005252 : Manchester 003E,1.2172,1.2172,1.2172,1.4201
E01033685,E01033685 : Manchester 003F,1.3597,1.3597,1.3597,1.6207
E01033687,E01033687 : Manchester 003G,0.8844,0.8844,0.8844,1.3381
E01005104,E01005104 : Manchester 004A,1.8966,2.665,1.9748,2.292
E01005160,E01005160 : Manchester 004B,1.507,2.6587,2.7552,1.3138
E01005161,E01005161 : Manchester 004C,1.62,1.7525,2.6017,2.5459
E01005162,E01005162 : Manchester 004D,0.9165,2.1856,2.3806,1.4911
E01005163,E01005163 : Manchester 004E,1.2183,2.0817,2.4328,2.0274
E01005247,E01005247 : Manchester 005A,1.6345,0.7438,3.0482,0.6909
E01005248,E01005248 : Manchester 005B,2.0633,2.063,2.5534,2.1645
E01005249,E01005249 : Manchester 005C,2.1897,1.8205,2.3209,2.1093
E01005250,E01005250 : Manchester 005D,1.8149,2.0727,2.3821,1.9187
E01005253,E01005253 : Manchester 005E,1.0639,1.4186,2.4671,1.2335
E01005254,E01005254 : Manchester 005F,1.6276,0.8797,2.7626,0.9779
E01005164,E01005164 : Manchester 006A,1.2961,0.9804,1.4519,1.8694
E01005205,E01005205 : Manchester 006B,1.2163,0.6491,0.6763,0.7347
E01005206,E01005206 : Manchester 006C,1.0055,0.7982,0.7982,1.0522
E01005207,E01005207 : Manchester 006D,1.2052,1.1662,0.9328,1.0903
E01005223,E01005223 : Manchester 007A,0.8468,0.8633,1.5118,0.7463
E01005224,E01005224 : Manchester 007B,0.6753,0.9078,1.4712,0.849
E01005225,E01005225 : Manchester 007C,0.9725,0.7122,2.3378,0.7258
E01005226,E01005226 : Manchester 007D,0.789,0.8398,2.0371,0.6114
E01005229,E01005229 : Manchester 007E,1.4033,1.3201,2.2904,1.2222
E01005145,E01005145 : Manchester 008A,0.9902,0.9489,0.9489,0.6249
E01005149,E01005149 : Manchester 008C,1.3882,0.9938,1.0707,0.6738
E01005165,E01005165 : Manchester 008D,1.1618,1.3555,1.4391,1.249
E01005166,E01005166 : Manchester 008E,0.8227,0.9458,1.167,0.9972
E01005167,E01005167 : Manchester 008F,1.4274,1.5053,1.5922,1.602
E01034109,E01034109 : Manchester 008G,1.2897,1.2571,1.2571,1.4815
E01034110,E01034110 : Manchester 008H,0.9514,1.4029,1.4029,1.4972
E01005202,E01005202 : Manchester 009A,1.3212,0.7965,0.8045,0.8976
E01005203,E01005203 : Manchester 009B,1.4102,0.9443,1.1954,1.3981
E01005227,E01005227 : Manchester 009D,0.8502,0.7362,1.2781,0.9371
E01005228,E01005228 : Manchester 009E,1.3809,1.1513,2.1397,1.1207
E01033678,E01033678 : Manchester 009F,1.8529,1.7778,1.3152,1.0123
E01033679,E01033679 : Manchester 009G,1.6682,1.2647,1.8549,0.9686
E01005256,E01005256 : Manchester 011A,1.05,1.1347,0.906,1.0364
E01005257,E01005257 : Manchester 011B,2.2815,2.0333,1.7211,1.8418
E01005258,E01005258 : Manchester 011C,0.7457,1.298,1.0812,0.7457
E01005259,E01005259 : Manchester 011D,0.8669,1.2273,1.0596,0.8669
E01005260,E01005260 : Manchester 011E,1.6656,2.2086,2.0902,1.6656
E01005093,E01005093 : Manchester 012A,0.8674,1.4141,1.4141,0.8908
E01005094,E01005094 : Manchester 012B,1.1644,1.8399,1.8399,0.8308
E01005097,E01005097 : Manchester 012C,1.2649,1.6595,1.6595,1.2546
E01005255,E01005255 : Manchester 012D,1.6384,1.9815,1.7791,1.6384
E01005261,E01005261 : Manchester 012E,1.603,1.7059,1.3023,1.603
E01005092,E01005092 : Manchester 015A,1.1162,1.1166,1.1166,0.7129
E01005105,E01005105 : Manchester 015C,1.4604,1.4586,1.4556,1.8207
E01005106,E01005106 : Manchester 015D,1.0788,1.0042,0.7139,1.0394
E01005107,E01005107 : Manchester 015E,2.1677,2.0611,1.8647,2.0784
E01033668,E01033668 : Manchester 015F,2.5553,1.8922,1.8922,2.1268
E01033669,E01033669 : Manchester 015G,1.8724,1.7674,1.7284,1.5677
E01005189,E01005189 : Manchester 017D,1.2285,0.8276,0.8276,1.3184
E01005190,E01005190 : Manchester 017E,0.8584,1.2109,0.9495,1.5534
E01034111,E01034111 : Manchester 017G,1.2415,1.2003,1.3579,1.2003
E01034112,E01034112 : Manchester 017H,0.6442,0.7294,0.7433,0.6941
E01034113,E01034113 : Manchester 017I,1.3727,1.3335,1.4309,1.3315
E01034114,E01034114 : Manchester 017J,0.8296,1.0508,0.915,1.0155
E01005061,E01005061 : Manchester 018A,1.9735,1.0124,1.359,1.1089
E01005063,E01005063 : Manchester 018C,0.9638,0.9638,0.9638,0.7447
E01005065,E01005065 : Manchester 018D,0.8944,0.8944,0.853,0.8913
E01005066,E01005066 : Manchester 018E,1.4016,1.4016,1.1534,1.1608
E01034115,E01034115 : Manchester 018F,1.3531,1.0976,0.882,1.0802
E01034116,E01034116 : Manchester 018G,1.514,1.4887,1.1576,0.6417
E01005208,E01005208 : Manchester 019A,0.8377,1.1997,0.6769,0.9814
E01005210,E01005210 : Manchester 019C,1.877,1.7447,0.8269,0.7558
E01005214,E01005214 : Manchester 019D,1.5751,0.8641,0.8641,0.898
E01034117,E01034117 : Manchester 019E,1.5979,1.7152,1.0668,1.3392
E01034118,E01034118 : Manchester 019F,1.2216,2.0458,0.9009,1.1145
E01005067,E01005067 : Manchester 020A,1.5401,1.0585,0.7901,1.1415
E01005186,E01005186 : Manchester 020B,1.772,1.3362,1.0429,1.8514
E01005232,E01005232 : Manchester 020C,1.4886,1.0979,1.0598,1.1877
E01005235,E01005235 : Manchester 020D,1.9576,1.2667,1.1484,1.4826
E01005239,E01005239 : Manchester 020E,1.7473,1.0312,1.3574,1.4195
E01005187,E01005187 : Manchester 021A,1.1908,1.2144,0.9143,1.1791
E01005188,E01005188 : Manchester 021B,1.491,1.5509,0.9875,1.5339
E01005191,E01005191 : Manchester 021C,0.6513,0.869,0.8235,1.43
E01005192,E01005192 : Manchester 021D,1.1163,1.8639,1.8639,1.5751
E01005193,E01005193 : Manchester 021E,1.3129,2.116,2.3166,1.2669
E01005230,E01005230 : Manchester 022B,1.5529,0.8842,0.7662,1.3737
E01005231,E01005231 : Manchester 022C,1.7869,0.8959,0.7721,0.9051
E01005236,E01005236 : Manchester 022D,1.0565,0.6405,0.6405,1.1428
E01005237,E01005237 : Manchester 022E,0.753,0.6428,0.6428,0.6271
E01034119,E01034119 : Manchester 022H,2.114,1.2014,0.7158,1.2629
E01005195,E01005195 : Manchester 023A,2.9363,1.5677,1.5677,1.119
E01005197,E01005197 : Manchester 023C,1.5597,1.3555,1.3555,1.8039
E01005198,E01005198 : Manchester 023D,2.6316,1.0595,1.0595,0.895
E01005201,E01005201 : Manchester 023E,1.899,0.8193,0.8193,1.1309
E01034120,E01034120 : Manchester 023F,2.4381,1.9939,1.9939,2.0983
E01034121,E01034121 : Manchester 023G,3.3387,2.8469,2.8469,2.3982
E01005243,E01005243 : Manchester 024B,1.261,1.1419,0.8736,0.9974
E01005245,E01005245 : Manchester 024C,0.7779,1.7342,0.7393,0.8024
E01005246,E01005246 : Manchester 024D,0.8707,2.0943,0.9948,0.8111
E01034122,E01034122 : Manchester 024E,0.842,2.0576,1.2274,0.701
