LSOA21CD,2021 super output area - lower layer,ah4dent,ah4gp,ah4hosp,ah4phar
E01005450,E01005450 : Oldham 019C,1.0079,1.2797,0.6269,0.9492
E01005451,E01005451 : Oldham 019D,1.0543,1.5761,1.3455,1.332
E01005408,E01005408 : Oldham 020C,1.1092,2.9453,0.8278,0.7078
E01005409,E01005409 : Oldham 020D,1.4221,3.6669,1.804,1.6379
E01032922,E01032922 : Oldham 020E,1.4194,1.1569,1.0279,1.1024
E01005406,E01005406 : Oldham 021A,2.6796,4.1204,3.2589,3.8456
E01005413,E01005413 : Oldham 021B,3.0398,4.1543,2.9565,4.605
E01005419,E01005419 : Oldham 021C,0.6779,1.2595,0.9645,1.751
E01005420,E01005420 : Oldham 021D,1.0728,2.1873,1.0085,2.6379
E01005321,E01005321 : Oldham 022A,0.6142,1.4341,1.4612,0.6752
E01005326,E01005326 : Oldham 022B,0.9212,1.1616,1.1598,0.6737
E01005427,E01005427 : Oldham 022C,1.3569,1.0568,0.516,0.8575
E01005429,E01005429 : Oldham 022D,0.6633,0.575,0.575,0.5445
E01005430,E01005430 : Oldham 022E,0.8272,0.9601,0.9601,0.867
E01005320,E01005320 : Oldham 024A,0.8895,0.8895,1.1885,1.2888
E01005434,E01005434 : Oldham 024B,0.5392,0.6507,0.7056,0.8641
E01005437,E01005437 : Oldham 024C,0.9277,1.0235,0.9998,1.3249
E01005459,E01005459 : Oldham 024D,1.3291,1.1383,1.1002,0.841
E01005383,E01005383 : Oldham 026A,1.6782,2.4596,2.4454,2.0035
E01005386,E01005386 : Oldham 026D,2.3029,3.1629,3.1425,2.5487
E01032556,E01032556 : Oldham 026E,0.7154,0.8613,0.6781,1.2624
E01032557,E01032557 : Oldham 026F,3.5513,4.2334,1.1226,3.9886
E01005342,E01005342 : Oldham 027A,1.323,0.9214,0.9712,1.0075
E01005343,E01005343 : Oldham 027B,1.424,1.0688,1.0688,1.4748
E01005344,E01005344 : Oldham 027C,1.6895,1.2071,1.0612,1.5962
E01005381,E01005381 : Oldham 027D,1.8282,1.1033,1.6251,1.4534
E01005332,E01005332 : Oldham 028A,0.9752,1.149,0.8791,1.0885
E01005341,E01005341 : Oldham 028B,1.2038,1.7468,1.3387,1.7536
E01005345,E01005345 : Oldham 028C,1.1225,2.0834,2.1269,1.1029
E01005346,E01005346 : Oldham 028D,1.0216,1.9206,1.8089,1.2849
E01005347,E01005347 : Oldham 028E,1.6496,2.0519,1.9304,2.1247
E01005322,E01005322 : Oldham 029A,0.9972,0.6835,0.6835,0.7167
E01005323,E01005323 : Oldham 029B,1.3764,1.2086,1.1251,1.2941
E01005324,E01005324 : Oldham 029C,1.2145,0.8907,0.6388,2.0195
E01005325,E01005325 : Oldham 029D,2.0581,1.4238,1.4238,2.1726
E01005438,E01005438 : Oldham 029E,0.846,0.7194,0.6076,0.7676
E01005377,E01005377 : Oldham 030A,1.7207,2.0307,0.9567,1.093
E01005379,E01005379 : Oldham 030B,1.2305,1.4088,1.1775,1.001
E01005380,E01005380 : Oldham 030C,3.0426,3.5693,1.708,1.708
E01005382,E01005382 : Oldham 030D,1.1103,0.734,0.734,0.9196
E01005439,E01005439 : Oldham 030E,1.0893,1.4396,1.4396,0.8439
E01005362,E01005362 : Oldham 031A,1.7672,2.2558,1.8204,2.1616
E01005364,E01005364 : Oldham 031B,2.4348,2.4865,1.9832,2.4865
E01005368,E01005368 : Oldham 031C,1.486,1.8929,0.8963,1.6152
E01005376,E01005376 : Oldham 031D,0.7499,1.3739,1.6166,1.2645
E01005378,E01005378 : Oldham 031E,0.6726,1.5288,1.4748,0.8898
E01005363,E01005363 : Oldham 032A,1.6506,1.5087,1.2541,1.5087
E01005369,E01005369 : Oldham 032B,0.9883,2.3064,2.0099,0.8083
E01005370,E01005370 : Oldham 032C,1.4983,1.8823,1.1503,1.1553
E01005371,E01005371 : Oldham 032D,0.8217,2.0254,1.4578,0.8755
E01005365,E01005365 : Oldham 033A,3.5673,3.5706,3.1835,3.3479
E01005366,E01005366 : Oldham 033B,1.9081,2.114,2.0536,2.114
E01005367,E01005367 : Oldham 033C,3.7271,3.4885,3.3683,3.4885
E01005440,E01005440 : Oldham 033D,3.3563,2.918,2.5597,1.5967
E01005372,E01005372 : Oldham 034A,1.2999,2.0837,1.0866,1.8227
E01005373,E01005373 : Oldham 034B,0.8516,2.774,1.5387,2.5791
E01005374,E01005374 : Oldham 034C,1.9053,2.9736,1.3163,2.0209
E01005375,E01005375 : Oldham 034D,1.3309,3.0482,2.3138,2.6671
E01034232,E01034232 : Oldham 036A,0.9678,0.7449,0.5411,0.6502
E01034233,E01034233 : Oldham 036B,1.272,0.8089,0.7146,0.7104
E01005460,E01005460 : Oldham 036C,0.9628,0.746,0.9909,0.4714
E01005463,E01005463 : Oldham 036D,1.0284,0.8783,0.9909,0.6423
E01005461,E01005461 : Oldham 037A,1.6587,1.5373,0.7119,0.7871
E01005435,E01005435 : Oldham 037B,1.1444,1.1444,1.5458,1.2731
E01005462,E01005462 : Oldham 037C,1.6466,1.0915,1.1962,1.1218
E01005436,E01005436 : Oldham 037D,1.0766,1.3306,1.2569,1.4004
