2021 super output area - lower layer,Total: All usual residents,Disabled under the Equality Act,Disabled under the Equality Act: Day-to-day activities limited a lot,Disabled under the Equality Act: Day-to-day activities limited a little,Not disabled under the Equality Act,Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited,Not disabled under the Equality Act: No long term physical or mental health conditions,disability_rate,long_term_condition_no_disability_rate,
E01006031 : Tameside 020A,"2,255",418,189,229,"1,837",151,"1,686",18.54 ,6.70 ,74.77 
E01006032 : Tameside 020B,"1,528",315,154,161,"1,213",86,"1,127",20.62 ,5.63 ,73.76 
E01006033 : Tameside 020C,"1,768",357,166,191,"1,411",130,"1,281",20.19 ,7.35 ,72.45 
E01006034 : Tameside 020D,"2,133",427,194,233,"1,706",150,"1,556",20.02 ,7.03 ,72.95 
E01006035 : Tameside 020E,"2,147",437,195,242,"1,710",140,"1,570",20.35 ,6.52 ,73.13 
E01006036 : Tameside 020F,"2,153",463,219,244,"1,690",118,"1,572",21.50 ,5.48 ,73.01 
E01005970 : Tameside 021A,"1,413",287,111,176,"1,126",93,"1,033",20.31 ,6.58 ,73.11 
E01005972 : Tameside 021B,"1,720",338,142,196,"1,382",127,"1,255",19.65 ,7.38 ,72.97 
E01005974 : Tameside 021C,"1,689",377,159,218,"1,312",112,"1,200",22.32 ,6.63 ,71.05 
E01005975 : Tameside 021D,"1,544",316,130,186,"1,228",105,"1,123",20.47 ,6.80 ,72.73 
E01006024 : Tameside 022A,"1,764",242,87,155,"1,522",145,"1,377",13.72 ,8.22 ,78.06 
E01006026 : Tameside 022B,"1,527",325,144,181,"1,202",126,"1,076",21.28 ,8.25 ,70.46 
E01006037 : Tameside 022C,"1,601",230,92,138,"1,371",132,"1,239",14.37 ,8.24 ,77.39 
E01006038 : Tameside 022D,"1,588",315,133,182,"1,273",110,"1,163",19.84 ,6.93 ,73.24 
E01006047 : Tameside 023A,"1,326",255,98,157,"1,071",105,966,19.23 ,7.92 ,72.85 
E01006048 : Tameside 023B,"1,596",344,141,203,"1,252",134,"1,118",21.55 ,8.40 ,70.05 
E01006049 : Tameside 023C,"1,545",322,128,194,"1,223",144,"1,079",20.84 ,9.32 ,69.84 
E01006051 : Tameside 023D,"1,628",290,113,177,"1,338",143,"1,195",17.81 ,8.78 ,73.40 
E01005985 : Tameside 024A,"1,556",266,134,132,"1,290",116,"1,174",17.10 ,7.46 ,75.45 
E01005987 : Tameside 024B,"1,518",275,132,143,"1,243",88,"1,155",18.12 ,5.80 ,76.09 
E01005988 : Tameside 024C,"1,599",236,76,160,"1,363",103,"1,260",14.76 ,6.44 ,78.80 
E01005990 : Tameside 024D,"1,374",261,97,164,"1,113",123,990,19.00 ,8.95 ,72.05 
E01005991 : Tameside 024E,"1,496",250,110,140,"1,246",105,"1,141",16.71 ,7.02 ,76.27 
E01005971 : Tameside 025A,"1,354",267,116,151,"1,087",95,992,19.72 ,7.02 ,73.26 
E01005986 : Tameside 025B,"1,245",239,99,140,"1,006",76,930,19.20 ,6.10 ,74.70 
E01005989 : Tameside 025C,"1,206",199,77,122,"1,007",91,916,16.50 ,7.55 ,75.95 
E01005992 : Tameside 025D,"1,207",307,172,135,900,79,821,25.43 ,6.55 ,68.02 
E01005973 : Tameside 026A,"1,367",257,98,159,"1,110",117,993,18.80 ,8.56 ,72.64 
E01005976 : Tameside 026B,"1,481",322,166,156,"1,159",104,"1,055",21.74 ,7.02 ,71.24 
E01005977 : Tameside 026C,"1,448",288,138,150,"1,160",95,"1,065",19.89 ,6.56 ,73.55 
E01005978 : Tameside 026D,"1,335",296,118,178,"1,039",87,952,22.17 ,6.52 ,71.31 
E01006025 : Tameside 027A,"1,916",443,235,208,"1,473",96,"1,377",23.12 ,5.01 ,71.87 
E01006027 : Tameside 027B,"2,343",496,237,259,"1,847",148,"1,699",21.17 ,6.32 ,72.51 
E01006050 : Tameside 027C,"1,841",415,196,219,"1,426",108,"1,318",22.54 ,5.87 ,71.59 
E01006052 : Tameside 027D,"1,581",406,198,208,"1,175",94,"1,081",25.68 ,5.95 ,68.37 
E01006028 : Tameside 028A,"1,776",498,250,248,"1,278",98,"1,180",28.04 ,5.52 ,66.44 
E01006029 : Tameside 028B,"1,934",340,155,185,"1,594",108,"1,486",17.58 ,5.58 ,76.84 
E01006030 : Tameside 028C,"1,870",463,209,254,"1,407",118,"1,289",24.76 ,6.31 ,68.93 
E01006039 : Tameside 028D,"1,353",268,108,160,"1,085",70,"1,015",19.81 ,5.17 ,75.02 
E01006040 : Tameside 028E,"1,891",401,224,177,"1,490",82,"1,408",21.21 ,4.34 ,74.46 
E01006041 : Tameside 028F,"1,721",313,129,184,"1,408",105,"1,303",18.19 ,6.10 ,75.71 
E01005979 : Tameside 029A,"1,586",374,194,180,"1,212",107,"1,105",23.58 ,6.75 ,69.67 
E01005980 : Tameside 029B,"1,449",344,191,153,"1,105",76,"1,029",23.74 ,5.24 ,71.01 
E01005981 : Tameside 029C,"1,647",419,225,194,"1,228",105,"1,123",25.44 ,6.38 ,68.18 
E01005982 : Tameside 029D,"1,324",316,156,160,"1,008",93,915,23.87 ,7.02 ,69.11 
E01005983 : Tameside 029E,"1,507",288,129,159,"1,219",123,"1,096",19.11 ,8.16 ,72.73 
E01005984 : Tameside 029F,"1,604",382,177,205,"1,222",96,"1,126",23.82 ,5.99 ,70.20 
E01006042 : Tameside 030A,"1,696",258,89,169,"1,438",134,"1,304",15.21 ,7.90 ,76.89 
E01006043 : Tameside 030B,"1,436",277,120,157,"1,159",94,"1,065",19.29 ,6.55 ,74.16 
E01006044 : Tameside 030C,"1,523",311,144,167,"1,212",115,"1,097",20.42 ,7.55 ,72.03 
E01006045 : Tameside 030D,"1,256",191,78,113,"1,065",103,962,15.21 ,8.20 ,76.59 
E01006046 : Tameside 030E,"1,528",247,98,149,"1,281",118,"1,163",16.16 ,7.72 ,76.11 
E01006109 : Trafford 001A,"1,150",261,115,146,889,59,830,22.70 ,5.13 ,72.17 
E01006110 : Trafford 001B,"1,876",312,127,185,"1,564",118,"1,446",16.63 ,6.29 ,77.08 
E01006111 : Trafford 001C,"1,774",279,151,128,"1,495",71,"1,424",15.73 ,4.00 ,80.27 
E01006112 : Trafford 001D,"2,049",402,227,175,"1,647",100,"1,547",19.62 ,4.88 ,75.50 
E01006188 : Trafford 001F,"1,992",268,115,153,"1,724",132,"1,592",13.45 ,6.63 ,79.92 
E01034000 : Trafford 001G,"1,235",172,62,110,"1,063",77,986,13.93 ,6.23 ,79.84 
E01034001 : Trafford 001H,"1,647",291,137,154,"1,356",71,"1,285",17.67 ,4.31 ,78.02 
E01006116 : Trafford 002A,"1,328",200,67,133,"1,128",94,"1,034",15.06 ,7.08 ,77.86 
E01006117 : Trafford 002B,"1,704",221,87,134,"1,483",128,"1,355",12.97 ,7.51 ,79.52 
E01006118 : Trafford 002C,"1,462",289,132,157,"1,173",120,"1,053",19.77 ,8.21 ,72.02 
E01006119 : Trafford 002D,"1,639",241,91,150,"1,398",117,"1,281",14.70 ,7.14 ,78.16 
E01006121 : Trafford 002E,"1,447",275,126,149,"1,172",79,"1,093",19.00 ,5.46 ,75.54 
E01006141 : Trafford 003A,"1,791",283,115,168,"1,508",123,"1,385",15.80 ,6.87 ,77.33 
E01006186 : Trafford 003B,"2,160",339,136,203,"1,821",131,"1,690",15.69 ,6.06 ,78.24 
E01006187 : Trafford 003C,"2,597",426,161,265,"2,171",179,"1,992",16.40 ,6.89 ,76.70 
E01006189 : Trafford 003D,"2,328",414,174,240,"1,914",156,"1,758",17.78 ,6.70 ,75.52 
E01006113 : Trafford 004A,"1,617",244,122,122,"1,373",79,"1,294",15.09 ,4.89 ,80.02 
E01006114 : Trafford 004B,"1,693",355,176,179,"1,338",72,"1,266",20.97 ,4.25 ,74.78 
E01006115 : Trafford 004C,"1,518",300,147,153,"1,218",85,"1,133",19.76 ,5.60 ,74.64 
E01006145 : Trafford 004D,"2,051",360,190,170,"1,691",95,"1,596",17.55 ,4.63 ,77.82 
E01006146 : Trafford 004E,"1,794",270,105,165,"1,524",121,"1,403",15.05 ,6.74 ,78.21 
E01006122 : Trafford 005A,"1,785",283,107,176,"1,502",142,"1,360",15.85 ,7.96 ,76.19 
E01006123 : Trafford 005B,"1,672",292,136,156,"1,380",134,"1,246",17.46 ,8.01 ,74.52 
E01006124 : Trafford 005C,"1,480",241,86,155,"1,239",125,"1,114",16.28 ,8.45 ,75.27 
E01006128 : Trafford 005D,"1,929",370,197,173,"1,559",139,"1,420",19.18 ,7.21 ,73.61 
E01006131 : Trafford 005E,"1,529",254,103,151,"1,275",124,"1,151",16.61 ,8.11 ,75.28 
E01006155 : Trafford 006A,"1,749",228,71,157,"1,521",139,"1,382",13.04 ,7.95 ,79.02 
E01006157 : Trafford 006B,"1,701",235,109,126,"1,466",111,"1,355",13.82 ,6.53 ,79.66 
E01006159 : Trafford 006C,"1,875",342,163,179,"1,533",117,"1,416",18.24 ,6.24 ,75.52 
E01006182 : Trafford 006D,"1,605",218,78,140,"1,387",103,"1,284",13.58 ,6.42 ,80.00 
E01006183 : Trafford 006E,"1,723",263,109,154,"1,460",114,"1,346",15.26 ,6.62 ,78.12 
E01006125 : Trafford 007A,"1,510",304,123,181,"1,206",95,"1,111",20.13 ,6.29 ,73.58 
E01006126 : Trafford 007B,"1,839",458,226,232,"1,381",99,"1,282",24.90 ,5.38 ,69.71 
E01006127 : Trafford 007C,"1,544",266,106,160,"1,278",135,"1,143",17.23 ,8.74 ,74.03 
E01006130 : Trafford 007D,"1,759",255,91,164,"1,504",169,"1,335",14.50 ,9.61 ,75.90 
E01006132 : Trafford 007E,"1,539",271,123,148,"1,268",127,"1,141",17.61 ,8.25 ,74.14 
E01006156 : Trafford 008A,"1,674",314,130,184,"1,360",106,"1,254",18.76 ,6.33 ,74.91 
E01006158 : Trafford 008B,"1,751",346,138,208,"1,405",99,"1,306",19.76 ,5.65 ,74.59 
E01006179 : Trafford 008C,"1,802",390,195,195,"1,412",126,"1,286",21.64 ,6.99 ,71.37 
E01006184 : Trafford 008D,"1,699",347,163,184,"1,352",116,"1,236",20.42 ,6.83 ,72.75 
E01006198 : Trafford 009A,"1,464",316,132,184,"1,148",87,"1,061",21.58 ,5.94 ,72.47 
E01006199 : Trafford 009B,"1,539",333,149,184,"1,206",115,"1,091",21.64 ,7.47 ,70.89 
E01006200 : Trafford 009C,"1,483",366,201,165,"1,117",117,"1,000",24.68 ,7.89 ,67.43 
E01006201 : Trafford 009D,"1,467",278,117,161,"1,189",120,"1,069",18.95 ,8.18 ,72.87 
E01006202 : Trafford 009E,"1,300",218,82,136,"1,082",128,954,16.77 ,9.85 ,73.38 
E01006120 : Trafford 010A,"1,427",208,90,118,"1,219",126,"1,093",14.58 ,8.83 ,76.59 
E01006129 : Trafford 010B,"1,384",307,146,161,"1,077",121,956,22.18 ,8.74 ,69.08 
E01006133 : Trafford 010C,"1,416",267,110,157,"1,149",140,"1,009",18.86 ,9.89 ,71.26 
E01006197 : Trafford 010D,"1,477",224,94,130,"1,253",130,"1,123",15.17 ,8.80 ,76.03 
E01006203 : Trafford 010E,"1,331",189,76,113,"1,142",96,"1,046",14.20 ,7.21 ,78.59 
E01006142 : Trafford 011A,"1,714",331,138,193,"1,383",129,"1,254",19.31 ,7.53 ,73.16 
E01006143 : Trafford 011B,"1,668",251,95,156,"1,417",139,"1,278",15.05 ,8.33 ,76.62 
E01006144 : Trafford 011C,"1,386",345,156,189,"1,041",93,948,24.89 ,6.71 ,68.40 
E01006180 : Trafford 011D,"1,840",284,102,182,"1,556",120,"1,436",15.43 ,6.52 ,78.04 
E01006181 : Trafford 011E,"1,746",287,132,155,"1,459",112,"1,347",16.44 ,6.41 ,77.15 
E01006147 : Trafford 012A,"1,443",158,48,110,"1,285",110,"1,175",10.95 ,7.62 ,81.43 
E01006149 : Trafford 012B,"1,578",286,140,146,"1,292",119,"1,173",18.12 ,7.54 ,74.33 
E01006150 : Trafford 012C,"1,920",331,147,184,"1,589",155,"1,434",17.24 ,8.07 ,74.69 
E01006154 : Trafford 012D,"1,601",182,63,119,"1,419",140,"1,279",11.37 ,8.74 ,79.89 
E01006165 : Trafford 012E,"2,007",296,119,177,"1,711",162,"1,549",14.75 ,8.07 ,77.18 
E01006166 : Trafford 013A,"1,641",278,135,143,"1,363",121,"1,242",16.94 ,7.37 ,75.69 
E01006169 : Trafford 013B,"1,647",292,122,170,"1,355",115,"1,240",17.73 ,6.98 ,75.29 
E01006170 : Trafford 013C,"1,602",222,96,126,"1,380",127,"1,253",13.86 ,7.93 ,78.21 
E01006171 : Trafford 013D,"1,755",366,176,190,"1,389",103,"1,286",20.85 ,5.87 ,73.28 
E01006098 : Trafford 014A,"1,334",181,77,104,"1,153",113,"1,040",13.57 ,8.47 ,77.96 
E01006099 : Trafford 014B,"1,322",174,63,111,"1,148",111,"1,037",13.16 ,8.40 ,78.44 
E01006164 : Trafford 014C,"1,763",266,102,164,"1,497",142,"1,355",15.09 ,8.05 ,76.86 
E01006174 : Trafford 014D,"1,788",258,92,166,"1,530",151,"1,379",14.43 ,8.45 ,77.13 
E01006178 : Trafford 014E,"1,813",240,100,140,"1,573",167,"1,406",13.24 ,9.21 ,77.55 
E01006097 : Trafford 015A,"1,783",261,121,140,"1,522",138,"1,384",14.64 ,7.74 ,77.62 
E01006160 : Trafford 015B,"2,140",389,141,248,"1,751",151,"1,600",18.18 ,7.06 ,74.77 
E01006161 : Trafford 015C,"2,158",278,100,178,"1,880",180,"1,700",12.88 ,8.34 ,78.78 
E01006162 : Trafford 015D,"1,622",181,55,126,"1,441",157,"1,284",11.16 ,9.68 ,79.16 
E01006163 : Trafford 015E,"1,832",209,55,154,"1,623",149,"1,474",11.41 ,8.13 ,80.46 
E01006148 : Trafford 016A,"1,699",313,140,173,"1,386",143,"1,243",18.42 ,8.42 ,73.16 
E01006151 : Trafford 016B,"1,581",206,60,146,"1,375",121,"1,254",13.03 ,7.65 ,79.32 
E01006152 : Trafford 016C,"1,639",248,81,167,"1,391",150,"1,241",15.13 ,9.15 ,75.72 
E01006153 : Trafford 016D,"1,600",237,90,147,"1,363",129,"1,234",14.81 ,8.06 ,77.13 
E01006172 : Trafford 016E,"1,539",268,122,146,"1,271",131,"1,140",17.41 ,8.51 ,74.07 
E01006104 : Trafford 017A,"1,687",369,171,198,"1,318",111,"1,207",21.87 ,6.58 ,71.55 
E01006105 : Trafford 017B,"1,766",436,214,222,"1,330",88,"1,242",24.69 ,4.98 ,70.33 
E01006106 : Trafford 017C,"1,474",412,199,213,"1,062",85,977,27.95 ,5.77 ,66.28 
E01006107 : Trafford 017D,"1,591",365,182,183,"1,226",88,"1,138",22.94 ,5.53 ,71.53 
E01006108 : Trafford 017E,"1,668",417,206,211,"1,251",75,"1,176",25.00 ,4.50 ,70.50 
E01006102 : Trafford 018A,"1,403",224,91,133,"1,179",105,"1,074",15.97 ,7.48 ,76.55 
E01006173 : Trafford 018B,"1,548",188,75,113,"1,360",134,"1,226",12.14 ,8.66 ,79.20 
E01006175 : Trafford 018C,"1,777",447,228,219,"1,330",113,"1,217",25.15 ,6.36 ,68.49 
E01006176 : Trafford 018D,"1,733",263,125,138,"1,470",129,"1,341",15.18 ,7.44 ,77.38 
E01006177 : Trafford 018E,"1,653",334,154,180,"1,319",99,"1,220",20.21 ,5.99 ,73.81 
E01006091 : Trafford 019A,"2,970",325,110,215,"2,645",229,"2,416",10.94 ,7.71 ,81.35 
E01006092 : Trafford 019B,"1,332",227,121,106,"1,105",85,"1,020",17.04 ,6.38 ,76.58 
E01006095 : Trafford 019C,"1,658",211,72,139,"1,447",144,"1,303",12.73 ,8.69 ,78.59 
E01006167 : Trafford 019D,"1,579",384,197,187,"1,195",114,"1,081",24.32 ,7.22 ,68.46 
E01006168 : Trafford 019E,"1,813",447,225,222,"1,366",108,"1,258",24.66 ,5.96 ,69.39 
E01006090 : Trafford 020A,"2,298",342,178,164,"1,956",177,"1,779",14.88 ,7.70 ,77.42 
E01006094 : Trafford 020B,"1,603",195,63,132,"1,408",138,"1,270",12.16 ,8.61 ,79.23 
E01006096 : Trafford 020C,"1,608",177,58,119,"1,431",119,"1,312",11.01 ,7.40 ,81.59 
E01006100 : Trafford 020D,"1,488",197,88,109,"1,291",110,"1,181",13.24 ,7.39 ,79.37 
E01006103 : Trafford 020E,"1,693",170,54,116,"1,523",128,"1,395",10.04 ,7.56 ,82.40 
E01006101 : Trafford 021A,"1,495",179,53,126,"1,316",122,"1,194",11.97 ,8.16 ,79.87 
E01006190 : Trafford 021B,"1,687",243,100,143,"1,444",118,"1,326",14.40 ,6.99 ,78.60 
E01006195 : Trafford 021C,"1,795",218,73,145,"1,577",143,"1,434",12.14 ,7.97 ,79.89 
E01006196 : Trafford 021D,"1,700",207,76,131,"1,493",116,"1,377",12.18 ,6.82 ,81.00 
E01006210 : Trafford 021E,"1,608",224,85,139,"1,384",131,"1,253",13.93 ,8.15 ,77.92 
E01006204 : Trafford 022A,"1,620",292,118,174,"1,328",122,"1,206",18.02 ,7.53 ,74.44 
E01006206 : Trafford 022B,"1,869",343,164,179,"1,526",123,"1,403",18.35 ,6.58 ,75.07 
E01006207 : Trafford 022C,"1,747",456,257,199,"1,291",99,"1,192",26.10 ,5.67 ,68.23 
E01006208 : Trafford 022D,"1,549",243,97,146,"1,306",86,"1,220",15.69 ,5.55 ,78.76 
E01006211 : Trafford 022E,"1,613",320,136,184,"1,293",119,"1,174",19.84 ,7.38 ,72.78 
E01006093 : Trafford 023A,"1,527",194,69,125,"1,333",141,"1,192",12.70 ,9.23 ,78.06 
E01006191 : Trafford 023B,"1,708",202,71,131,"1,506",143,"1,363",11.83 ,8.37 ,79.80 
E01006192 : Trafford 023C,"1,517",225,99,126,"1,292",139,"1,153",14.83 ,9.16 ,76.01 
E01006205 : Trafford 023D,"1,342",182,65,117,"1,160",93,"1,067",13.56 ,6.93 ,79.51 
E01006209 : Trafford 023E,"1,643",220,86,134,"1,423",127,"1,296",13.39 ,7.73 ,78.88 
E01006078 : Trafford 024A,"2,123",233,83,150,"1,890",164,"1,726",10.98 ,7.72 ,81.30 
E01006080 : Trafford 024B,"1,968",279,128,151,"1,689",111,"1,578",14.18 ,5.64 ,80.18 
E01006089 : Trafford 024C,"2,013",226,83,143,"1,787",135,"1,652",11.23 ,6.71 ,82.07 
E01006193 : Trafford 024D,"1,571",207,89,118,"1,364",126,"1,238",13.18 ,8.02 ,78.80 
E01006194 : Trafford 024E,"2,429",249,94,155,"2,180",176,"2,004",10.25 ,7.25 ,82.50 
E01006074 : Trafford 025A,"1,641",320,177,143,"1,321",105,"1,216",19.50 ,6.40 ,74.10 
E01006075 : Trafford 025B,"2,146",257,89,168,"1,889",165,"1,724",11.98 ,7.69 ,80.34 
E01006076 : Trafford 025C,"1,675",279,107,172,"1,396",137,"1,259",16.66 ,8.18 ,75.16 
E01006079 : Trafford 025D,"2,595",250,85,165,"2,345",209,"2,136",9.63 ,8.05 ,82.31 
E01006087 : Trafford 025E,"1,451",178,51,127,"1,273",98,"1,175",12.27 ,6.75 ,80.98 
E01006083 : Trafford 026A,"1,279",141,43,98,"1,138",95,"1,043",11.02 ,7.43 ,81.55 
E01006084 : Trafford 026B,"1,743",165,48,117,"1,578",149,"1,429",9.47 ,8.55 ,81.99 
E01006088 : Trafford 026C,"1,630",148,60,88,"1,482",118,"1,364",9.08 ,7.24 ,83.68 
E01006139 : Trafford 026D,"1,805",188,47,141,"1,617",147,"1,470",10.42 ,8.14 ,81.44 
E01006140 : Trafford 026E,"1,697",183,61,122,"1,514",147,"1,367",10.78 ,8.66 ,80.55 
E01006077 : Trafford 027A,"1,643",250,93,157,"1,393",130,"1,263",15.22 ,7.91 ,76.87 
E01006081 : Trafford 027B,"1,385",178,68,110,"1,207",104,"1,103",12.85 ,7.51 ,79.64 
E01006082 : Trafford 027C,"1,496",200,69,131,"1,296",121,"1,175",13.37 ,8.09 ,78.54 
E01006085 : Trafford 027D,"1,542",179,90,89,"1,363",128,"1,235",11.61 ,8.30 ,80.09 
E01006086 : Trafford 027E,"1,688",260,107,153,"1,428",110,"1,318",15.40 ,6.52 ,78.08 
E01006134 : Trafford 028A,"1,493",128,34,94,"1,365",97,"1,268",8.57 ,6.50 ,84.93 
E01006135 : Trafford 028B,"1,767",267,108,159,"1,500",108,"1,392",15.11 ,6.11 ,78.78 
E01006136 : Trafford 028C,"1,702",196,61,135,"1,506",104,"1,402",11.52 ,6.11 ,82.37 
E01006137 : Trafford 028D,"1,421",163,51,112,"1,258",99,"1,159",11.47 ,6.97 ,81.56 
E01006138 : Trafford 028E,"1,893",333,149,184,"1,560",115,"1,445",17.59 ,6.08 ,76.33 
E01006315 : Wigan 001A,"1,503",208,76,132,"1,295",144,"1,151",13.84 ,9.58 ,76.58 
E01006316 : Wigan 001B,"2,003",269,106,163,"1,734",170,"1,564",13.43 ,8.49 ,78.08 
E01006317 : Wigan 001C,"1,552",315,136,179,"1,237",117,"1,120",20.30 ,7.54 ,72.16 
E01006319 : Wigan 001D,"1,573",169,62,107,"1,404",103,"1,301",10.74 ,6.55 ,82.71 
E01006229 : Wigan 002A,"1,377",263,106,157,"1,114",114,"1,000",19.10 ,8.28 ,72.62 
E01006230 : Wigan 002B,"2,122",284,99,185,"1,838",159,"1,679",13.38 ,7.49 ,79.12 
E01006233 : Wigan 002C,"1,404",226,87,139,"1,178",136,"1,042",16.10 ,9.69 ,74.22 
E01006237 : Wigan 002D,"1,922",259,97,162,"1,663",146,"1,517",13.48 ,7.60 ,78.93 
E01006238 : Wigan 002E,"1,509",348,187,161,"1,161",101,"1,060",23.06 ,6.69 ,70.25 
E01006259 : Wigan 003A,"1,316",240,107,133,"1,076",90,986,18.24 ,6.84 ,74.92 
E01006312 : Wigan 003B,"1,370",251,111,140,"1,119",114,"1,005",18.32 ,8.32 ,73.36 
E01006313 : Wigan 003C,"1,458",286,133,153,"1,172",74,"1,098",19.62 ,5.08 ,75.31 
E01006314 : Wigan 003D,"1,725",336,127,209,"1,389",146,"1,243",19.48 ,8.46 ,72.06 
E01006318 : Wigan 003E,"1,426",285,107,178,"1,141",118,"1,023",19.99 ,8.27 ,71.74 
E01006320 : Wigan 003F,"1,279",244,92,152,"1,035",95,940,19.08 ,7.43 ,73.49 
E01006321 : Wigan 003G,"1,601",265,104,161,"1,336",129,"1,207",16.55 ,8.06 ,75.39 
E01006231 : Wigan 004A,"1,466",259,110,149,"1,207",101,"1,106",17.67 ,6.89 ,75.44 
E01006232 : Wigan 004B,"1,989",292,126,166,"1,697",137,"1,560",14.68 ,6.89 ,78.43 
E01006234 : Wigan 004C,"1,142",240,111,129,902,97,805,21.02 ,8.49 ,70.49 
E01006235 : Wigan 004D,"1,528",407,209,198,"1,121",108,"1,013",26.64 ,7.07 ,66.30 
E01006253 : Wigan 005A,"1,524",349,156,193,"1,175",117,"1,058",22.90 ,7.68 ,69.42 
E01006254 : Wigan 005B,"1,572",385,188,197,"1,187",69,"1,118",24.49 ,4.39 ,71.12 
E01006255 : Wigan 005C,"1,492",295,125,170,"1,197",123,"1,074",19.77 ,8.24 ,71.98 
E01006256 : Wigan 005D,"1,707",303,139,164,"1,404",118,"1,286",17.75 ,6.91 ,75.34 
E01006260 : Wigan 005E,"1,515",362,191,171,"1,153",88,"1,065",23.89 ,5.81 ,70.30 
E01006370 : Wigan 006A,"1,886",334,140,194,"1,552",127,"1,425",17.71 ,6.73 ,75.56 
E01006372 : Wigan 006B,"1,609",220,100,120,"1,389",119,"1,270",13.67 ,7.40 ,78.93 
E01006373 : Wigan 006C,"1,459",211,90,121,"1,248",137,"1,111",14.46 ,9.39 ,76.15 
E01006374 : Wigan 006D,"1,463",209,90,119,"1,254",111,"1,143",14.29 ,7.59 ,78.13 
E01006390 : Wigan 006E,"1,612",350,157,193,"1,262",110,"1,152",21.71 ,6.82 ,71.46 
E01006236 : Wigan 007A,"1,573",245,104,141,"1,328",105,"1,223",15.58 ,6.68 ,77.75 
E01006388 : Wigan 007B,"1,837",396,196,200,"1,441",111,"1,330",21.56 ,6.04 ,72.40 
E01006389 : Wigan 007C,"1,318",193,89,104,"1,125",78,"1,047",14.64 ,5.92 ,79.44 
E01006391 : Wigan 007D,"1,530",335,159,176,"1,195",103,"1,092",21.90 ,6.73 ,71.37 
E01006257 : Wigan 008A,"1,207",221,108,113,986,82,904,18.31 ,6.79 ,74.90 
E01006258 : Wigan 008B,"1,599",333,165,168,"1,266",144,"1,122",20.83 ,9.01 ,70.17 
E01006369 : Wigan 008C,"2,029",433,194,239,"1,596",125,"1,471",21.34 ,6.16 ,72.50 
E01006371 : Wigan 008D,"1,476",276,122,154,"1,200",111,"1,089",18.70 ,7.52 ,73.78 
E01006375 : Wigan 008E,"1,683",271,118,153,"1,412",135,"1,277",16.10 ,8.02 ,75.88 
E01006306 : Wigan 009A,"1,479",420,221,199,"1,059",78,981,28.40 ,5.27 ,66.33 
E01006307 : Wigan 009B,"1,374",311,171,140,"1,063",102,961,22.63 ,7.42 ,69.94 
E01006386 : Wigan 009C,"1,587",588,332,256,999,85,914,37.05 ,5.36 ,57.59 
E01006387 : Wigan 009D,"1,315",307,147,160,"1,008",82,926,23.35 ,6.24 ,70.42 
E01006392 : Wigan 009E,"1,477",320,170,150,"1,157",67,"1,090",21.67 ,4.54 ,73.80 
E01006350 : Wigan 010A,"1,858",478,269,209,"1,380",104,"1,276",25.73 ,5.60 ,68.68 
E01006351 : Wigan 010B,"2,020",533,259,274,"1,487",86,"1,401",26.39 ,4.26 ,69.36 
E01006357 : Wigan 010C,"1,830",511,265,246,"1,319",84,"1,235",27.92 ,4.59 ,67.49 
E01006360 : Wigan 010D,"1,680",388,209,179,"1,292",81,"1,211",23.10 ,4.82 ,72.08 
E01006361 : Wigan 010E,"1,661",396,201,195,"1,265",97,"1,168",23.84 ,5.84 ,70.32 
E01006356 : Wigan 011A,"1,434",342,165,177,"1,092",81,"1,011",23.85 ,5.65 ,70.50 
E01006396 : Wigan 011B,"1,480",302,167,135,"1,178",99,"1,079",20.41 ,6.69 ,72.91 
E01006397 : Wigan 011C,"1,080",290,167,123,790,56,734,26.85 ,5.19 ,67.96 
E01006398 : Wigan 011D,"1,008",253,130,123,755,69,686,25.10 ,6.85 ,68.06 
E01006399 : Wigan 011E,"1,603",315,141,174,"1,288",107,"1,181",19.65 ,6.67 ,73.67 
E01006305 : Wigan 012A,"1,710",379,180,199,"1,331",72,"1,259",22.16 ,4.21 ,73.63 
E01006308 : Wigan 012B,"1,620",353,158,195,"1,267",75,"1,192",21.79 ,4.63 ,73.58 
E01006309 : Wigan 012C,"1,670",345,183,162,"1,325",92,"1,233",20.66 ,5.51 ,73.83 
E01006310 : Wigan 012D,"1,587",360,197,163,"1,227",87,"1,140",22.68 ,5.48 ,71.83 
E01006311 : Wigan 012E,"1,534",334,166,168,"1,200",95,"1,105",21.77 ,6.19 ,72.03 
E01006269 : Wigan 013A,"1,737",392,212,180,"1,345",123,"1,222",22.57 ,7.08 ,70.35 
E01006271 : Wigan 013B,"1,682",330,159,171,"1,352",136,"1,216",19.62 ,8.09 ,72.29 
E01006272 : Wigan 013C,"1,634",337,162,175,"1,297",123,"1,174",20.62 ,7.53 ,71.85 
E01006273 : Wigan 013D,"1,482",359,177,182,"1,123",101,"1,022",24.22 ,6.82 ,68.96 
E01006276 : Wigan 013E,"2,154",352,162,190,"1,802",150,"1,652",16.34 ,6.96 ,76.69 
E01006353 : Wigan 014A,"1,458",276,133,143,"1,182",115,"1,067",18.93 ,7.89 ,73.18 
E01006354 : Wigan 014B,"1,440",386,202,184,"1,054",91,963,26.81 ,6.32 ,66.88 
