2021 super output area - lower layer,Total: All usual residents,Disabled under the Equality Act,Disabled under the Equality Act: Day-to-day activities limited a lot,Disabled under the Equality Act: Day-to-day activities limited a little,Not disabled under the Equality Act,Not disabled under the Equality Act: Has long term physical or mental health condition but day-to-day activities are not limited,Not disabled under the Equality Act: No long term physical or mental health conditions,disability_rate,long_term_condition_no_disability_rate,
E01006068 : Tameside 009B,"1,559",406,193,213,"1,153",104,"1,049",26.04 ,6.67 ,67.29 
E01006069 : Tameside 009C,"1,740",353,161,192,"1,387",97,"1,290",20.29 ,5.57 ,74.14 
E01006073 : Tameside 009D,"2,044",377,176,201,"1,667",131,"1,536",18.44 ,6.41 ,75.15 
E01005993 : Tameside 010A,"1,347",261,105,156,"1,086",92,994,19.38 ,6.83 ,73.79 
E01005995 : Tameside 010B,"1,371",208,80,128,"1,163",70,"1,093",15.17 ,5.11 ,79.72 
E01005996 : Tameside 010C,"1,948",330,126,204,"1,618",96,"1,522",16.94 ,4.93 ,78.13 
E01005997 : Tameside 010D,"1,536",325,146,179,"1,211",99,"1,112",21.16 ,6.45 ,72.40 
E01006000 : Tameside 010E,"1,787",445,218,227,"1,342",119,"1,223",24.90 ,6.66 ,68.44 
E01005994 : Tameside 011A,"1,507",314,152,162,"1,193",95,"1,098",20.84 ,6.30 ,72.86 
E01005999 : Tameside 011B,"2,190",416,189,227,"1,774",137,"1,637",19.00 ,6.26 ,74.75 
E01006002 : Tameside 011C,"1,370",291,146,145,"1,079",82,997,21.24 ,5.99 ,72.77 
E01006004 : Tameside 011D,"1,523",265,105,160,"1,258",104,"1,154",17.40 ,6.83 ,75.77 
E01006005 : Tameside 011E,"1,393",362,207,155,"1,031",75,956,25.99 ,5.38 ,68.63 
E01006007 : Tameside 011F,"1,553",306,133,173,"1,247",79,"1,168",19.70 ,5.09 ,75.21 
E01005998 : Tameside 012A,"1,881",346,148,198,"1,535",101,"1,434",18.39 ,5.37 ,76.24 
E01006001 : Tameside 012B,"1,546",295,122,173,"1,251",93,"1,158",19.08 ,6.02 ,74.90 
E01006003 : Tameside 012C,"1,530",321,147,174,"1,209",102,"1,107",20.98 ,6.67 ,72.35 
E01006006 : Tameside 012D,"1,426",284,131,153,"1,142",92,"1,050",19.92 ,6.45 ,73.63 
E01005948 : Tameside 013A,"2,315",566,246,320,"1,749",110,"1,639",24.45 ,4.75 ,70.80 
E01005950 : Tameside 013B,"2,173",318,158,160,"1,855",69,"1,786",14.63 ,3.18 ,82.19 
E01005951 : Tameside 013C,"1,856",326,135,191,"1,530",99,"1,431",17.56 ,5.33 ,77.10 
E01005953 : Tameside 013E,"2,296",472,262,210,"1,824",96,"1,728",20.56 ,4.18 ,75.26 
E01033949 : Tameside 013F,"1,190",327,177,150,863,36,827,27.48 ,3.03 ,69.50 
E01033950 : Tameside 013G,"1,371",355,177,178,"1,016",78,938,25.89 ,5.69 ,68.42 
E01005961 : Tameside 014A,"2,962",375,168,207,"2,587",148,"2,439",12.66 ,5.00 ,82.34 
E01005962 : Tameside 014B,"1,419",237,107,130,"1,182",99,"1,083",16.70 ,6.98 ,76.32 
E01005968 : Tameside 014C,"1,375",244,113,131,"1,131",95,"1,036",17.75 ,6.91 ,75.35 
E01005969 : Tameside 014D,"1,299",211,97,114,"1,088",96,992,16.24 ,7.39 ,76.37 
E01006022 : Tameside 015A,"1,936",405,168,237,"1,531",163,"1,368",20.92 ,8.42 ,70.66 
E01006023 : Tameside 015B,"1,577",450,239,211,"1,127",104,"1,023",28.54 ,6.59 ,64.87 
E01006070 : Tameside 015C,"1,399",218,90,128,"1,181",107,"1,074",15.58 ,7.65 ,76.77 
E01006071 : Tameside 015D,"1,710",269,98,171,"1,441",121,"1,320",15.73 ,7.08 ,77.19 
E01006072 : Tameside 015E,"1,615",203,66,137,"1,412",112,"1,300",12.57 ,6.93 ,80.50 
E01006009 : Tameside 016A,"1,329",245,111,134,"1,084",105,979,18.43 ,7.90 ,73.66 
E01006017 : Tameside 016B,"1,398",206,76,130,"1,192",105,"1,087",14.74 ,7.51 ,77.75 
E01006018 : Tameside 016C,"1,316",248,125,123,"1,068",91,977,18.84 ,6.91 ,74.24 
E01006021 : Tameside 016D,"1,366",240,94,146,"1,126",113,"1,013",17.57 ,8.27 ,74.16 
E01006008 : Tameside 017A,"1,385",282,117,165,"1,103",119,984,20.36 ,8.59 ,71.05 
E01006010 : Tameside 017B,"1,402",388,196,192,"1,014",84,930,27.67 ,5.99 ,66.33 
E01006012 : Tameside 017C,"1,961",367,189,178,"1,594",136,"1,458",18.71 ,6.94 ,74.35 
E01006015 : Tameside 017D,"1,347",187,73,114,"1,160",106,"1,054",13.88 ,7.87 ,78.25 
E01006016 : Tameside 017E,"1,943",528,235,293,"1,415",115,"1,300",27.17 ,5.92 ,66.91 
E01006011 : Tameside 018A,"1,708",453,238,215,"1,255",88,"1,167",26.52 ,5.15 ,68.33 
E01006013 : Tameside 018B,"1,307",243,113,130,"1,064",94,970,18.59 ,7.19 ,74.22 
E01006014 : Tameside 018C,"1,283",226,95,131,"1,057",84,973,17.61 ,6.55 ,75.84 
E01006019 : Tameside 018D,"1,503",491,255,236,"1,012",99,913,32.67 ,6.59 ,60.75 
E01006020 : Tameside 018E,"1,638",405,161,244,"1,233",89,"1,144",24.73 ,5.43 ,69.84 
E01005963 : Tameside 019A,"1,161",198,82,116,963,85,878,17.05 ,7.32 ,75.62 
E01005964 : Tameside 019B,"1,524",274,117,157,"1,250",111,"1,139",17.98 ,7.28 ,74.74 
E01005965 : Tameside 019C,"1,733",371,214,157,"1,362",101,"1,261",21.41 ,5.83 ,72.76 
E01005966 : Tameside 019D,"1,580",256,133,123,"1,324",115,"1,209",16.20 ,7.28 ,76.52 
E01005967 : Tameside 019E,"1,424",372,177,195,"1,052",74,978,26.12 ,5.20 ,68.68 
